# Swiss Law Collection — all cantonal acts: instrument type × canton × enactment year × legal domain
# counting_unit: published_copies — one count per canton whose collection publishes the act
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
instrument_type,canton,year,domain,count
anderes,SZ,1951,infra,1
anderes,VD,1951,autres,1
anderes,ZH,1951,fin,1
anderes,AR,1952,infra,1
anderes,BL,1952,etat,1
anderes,GR,1952,etat,1
anderes,LU,1952,autres,1
anderes,SO,1952,fin,1
anderes,TI,1952,infra,10
anderes,VD,1952,etat,1
anderes,FR,1953,etat,1
anderes,NE,1953,infra,1
anderes,OW,1953,infra,1
anderes,SG,1953,educ,1
anderes,SH,1953,eco,1
anderes,SO,1953,infra,1
anderes,ZH,1953,fin,1
anderes,BL,1954,sante,1
anderes,FR,1954,eco,1
anderes,FR,1954,etat,1
anderes,NE,1954,eco,1
anderes,NE,1954,etat,1
anderes,SH,1954,etat,1
anderes,SO,1954,autres,1
anderes,ZG,1954,infra,1
anderes,AI,1955,sante,1
anderes,BS,1955,etat,1
anderes,BS,1955,sante,1
anderes,NE,1955,etat,1
anderes,SH,1955,autres,1
anderes,SO,1955,autres,1
anderes,VD,1955,autres,1
anderes,BE,1956,etat,1
anderes,GR,1956,educ,1
anderes,OW,1956,infra,1
anderes,SO,1956,infra,1
anderes,BS,1957,educ,1
anderes,FR,1957,autres,1
anderes,FR,1957,etat,1
anderes,GL,1957,infra,2
anderes,NE,1957,infra,1
anderes,SG,1957,educ,1
anderes,SO,1957,autres,1
anderes,SO,1957,etat,1
anderes,SO,1957,sante,1
anderes,VD,1957,autres,1
anderes,VD,1957,fin,1
anderes,BS,1958,educ,1
anderes,BS,1958,sante,2
anderes,NE,1958,etat,1
anderes,NE,1958,infra,1
anderes,SO,1958,infra,1
anderes,SZ,1958,infra,2
anderes,VD,1958,etat,1
anderes,ZG,1958,fin,1
anderes,ZH,1958,infra,4
anderes,GL,1959,etat,1
anderes,GL,1959,infra,1
anderes,GR,1959,fin,1
anderes,NE,1959,etat,1
anderes,NE,1959,sante,1
anderes,SZ,1959,infra,1
anderes,VD,1959,educ,2
anderes,VS,1959,infra,3
anderes,ZH,1959,infra,1
anderes,BS,1960,educ,1
anderes,BS,1960,sante,1
anderes,GL,1960,infra,1
anderes,SG,1960,eco,1
anderes,SO,1960,educ,1
anderes,SO,1960,etat,3
anderes,SO,1960,infra,1
anderes,VD,1960,fin,1
anderes,VD,1960,infra,1
anderes,ZH,1960,autres,1
anderes,FR,1961,etat,1
anderes,GE,1961,etat,1
anderes,GR,1961,etat,1
anderes,GR,1961,fin,1
anderes,OW,1961,infra,1
anderes,SO,1961,educ,1
anderes,SO,1961,infra,1
anderes,SZ,1961,infra,2
anderes,UR,1961,educ,1
anderes,VS,1961,infra,1
anderes,BL,1962,fin,1
anderes,BS,1962,educ,1
anderes,FR,1962,eco,1
anderes,GL,1962,fin,1
anderes,GL,1962,infra,1
anderes,SH,1962,educ,1
anderes,SO,1962,etat,1
anderes,SO,1962,sante,1
anderes,UR,1962,infra,1
anderes,VD,1962,infra,1
anderes,BL,1963,eco,1
anderes,BL,1963,fin,1
anderes,BS,1963,educ,1
anderes,FR,1963,eco,1
anderes,FR,1963,infra,1
anderes,GL,1963,infra,2
anderes,LU,1963,infra,1
anderes,NE,1963,infra,1
anderes,SO,1963,eco,1
anderes,SO,1963,educ,1
anderes,SO,1963,infra,3
anderes,SO,1963,sante,1
anderes,TI,1963,etat,1
anderes,TI,1963,sante,1
anderes,VD,1963,fin,1
anderes,VD,1963,sante,2
anderes,VS,1963,infra,1
anderes,ZH,1963,etat,2
anderes,ZH,1963,infra,1
anderes,BE,1964,fin,1
anderes,FR,1964,autres,1
anderes,FR,1964,etat,1
anderes,GL,1964,eco,1
anderes,GR,1964,sante,1
anderes,NE,1964,infra,1
anderes,NW,1964,eco,1
anderes,SG,1964,eco,1
anderes,SO,1964,educ,3
anderes,VS,1964,etat,1
anderes,VS,1964,infra,2
anderes,BS,1965,infra,1
anderes,BS,1965,sante,2
anderes,GL,1965,sante,1
anderes,LU,1965,sante,1
anderes,NE,1965,educ,1
anderes,NE,1965,sante,1
anderes,SG,1965,etat,2
anderes,SH,1965,etat,1
anderes,SO,1965,educ,1
anderes,VD,1965,autres,1
anderes,VS,1965,etat,1
anderes,FR,1966,autres,1
anderes,FR,1966,etat,2
anderes,FR,1966,infra,1
anderes,GL,1966,eco,1
anderes,GL,1966,sante,1
anderes,NE,1966,eco,6
anderes,NE,1966,infra,3
anderes,SO,1966,infra,1
anderes,SO,1966,sante,1
anderes,TG,1966,etat,1
anderes,VD,1966,eco,1
anderes,VS,1966,sante,1
anderes,ZH,1966,etat,1
anderes,BL,1967,sante,1
anderes,BS,1967,eco,1
anderes,BS,1967,educ,1
anderes,FR,1967,etat,1
anderes,GR,1967,educ,1
anderes,NE,1967,educ,2
anderes,NE,1967,fin,1
anderes,NE,1967,sante,8
anderes,NW,1967,sante,1
anderes,SG,1967,educ,1
anderes,SO,1967,autres,1
anderes,SO,1967,etat,1
anderes,SO,1967,sante,1
anderes,VD,1967,eco,1
anderes,VS,1967,etat,1
anderes,ZH,1967,etat,2
anderes,ZH,1967,infra,1
anderes,BS,1968,educ,1
anderes,FR,1968,autres,1
anderes,FR,1968,infra,1
anderes,NE,1968,eco,1
anderes,NE,1968,educ,1
anderes,NE,1968,etat,1
anderes,NE,1968,infra,1
anderes,NW,1968,autres,1
anderes,SG,1968,fin,2
anderes,SO,1968,eco,1
anderes,SO,1968,educ,1
anderes,SO,1968,etat,2
anderes,SO,1968,sante,1
anderes,TG,1968,etat,1
anderes,UR,1968,infra,1
anderes,VD,1968,fin,1
anderes,VS,1968,sante,2
anderes,ZH,1968,etat,2
anderes,AR,1969,infra,1
anderes,BS,1969,etat,1
anderes,FR,1969,autres,1
anderes,GL,1969,autres,1
anderes,GR,1969,autres,1
anderes,GR,1969,educ,1
anderes,NE,1969,educ,1
anderes,NW,1969,infra,1
anderes,OW,1969,infra,1
anderes,SO,1969,autres,1
anderes,SO,1969,educ,1
anderes,SO,1969,etat,1
anderes,SO,1969,sante,1
anderes,VD,1969,fin,1
anderes,VS,1969,eco,1
anderes,VS,1969,sante,1
anderes,ZG,1969,fin,1
anderes,BS,1970,educ,1
anderes,BS,1970,fin,1
anderes,BS,1970,infra,2
