# Swiss Law Collection — cantonal acts of type 'Ordinance' by canton, year and legal domain
# year = enactment year; 'unknown' rows are undated laws
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,etat,sante,educ,infra,eco,fin,autres,total
SG,1955,0,0,0,1,0,0,0,1
SO,1955,1,0,0,1,0,0,0,2
VS,1955,0,1,0,0,0,0,0,1
ZH,1955,0,1,0,0,0,0,0,1
JU,1956,0,0,0,0,0,0,1,1
ZH,1956,0,0,0,1,0,0,0,1
AG,1957,0,0,0,0,1,0,0,1
BL,1957,1,0,0,0,0,0,0,1
BS,1957,0,0,1,0,0,0,0,1
GE,1957,0,0,0,1,0,0,0,1
LU,1957,0,0,0,0,0,0,1,1
SG,1957,0,0,0,0,0,0,1,1
ZH,1957,0,0,0,0,0,0,1,1
AG,1958,0,1,0,0,0,0,0,1
AI,1958,0,0,0,1,0,0,0,1
BS,1958,0,0,0,1,0,0,0,1
GL,1958,1,0,0,0,0,0,0,1
GR,1958,1,0,0,0,0,0,0,1
LU,1958,1,1,0,0,0,0,0,2
SO,1958,1,0,0,0,0,0,0,1
VS,1958,0,1,0,0,0,0,0,1
ZH,1958,0,1,0,0,0,0,1,2
AG,1959,0,1,0,0,0,0,0,1
AR,1959,0,0,0,1,0,0,0,1
BL,1959,0,1,0,1,0,0,0,2
GE,1959,0,0,0,1,0,0,0,1
JU,1959,1,0,0,0,0,0,0,1
LU,1959,0,1,0,0,0,0,0,1
SO,1959,1,0,0,0,0,0,1,2
SZ,1959,1,1,0,0,0,0,0,2
ZH,1959,0,0,0,0,1,0,0,1
AG,1960,0,0,0,1,0,0,0,1
AR,1960,0,0,0,1,0,0,0,1
BE,1960,0,0,0,1,0,0,0,1
BL,1960,0,0,0,4,0,0,0,4
BS,1960,0,1,0,0,0,0,0,1
JU,1960,0,0,0,2,0,0,0,2
OW,1960,0,1,0,0,0,0,0,1
SG,1960,0,0,0,1,0,0,0,1
SH,1960,1,0,0,0,0,0,0,1
SO,1960,0,0,0,0,0,0,1,1
ZH,1960,1,1,0,1,0,0,1,4
AG,1961,0,1,0,0,2,0,0,3
BE,1961,0,2,0,1,1,0,0,4
BL,1961,0,0,1,0,0,0,0,1
BS,1961,0,0,0,1,0,0,0,1
GR,1961,0,0,1,0,0,0,1,2
SG,1961,1,0,0,1,0,0,0,2
SH,1961,0,1,0,0,0,0,0,1
SO,1961,1,0,0,1,0,0,0,2
TG,1961,0,0,0,0,1,0,0,1
TI,1961,0,1,0,0,0,0,0,1
BS,1962,0,1,0,0,0,0,0,1
LU,1962,0,0,0,1,0,0,0,1
SH,1962,1,0,1,0,0,0,0,2
SO,1962,0,1,0,1,0,0,0,2
TI,1962,1,0,0,1,0,0,0,2
ZG,1962,0,0,0,0,1,0,0,1
ZH,1962,0,1,0,0,0,0,0,1
AG,1963,0,0,0,0,1,0,0,1
AR,1963,0,0,1,0,0,0,0,1
BL,1963,0,0,0,1,0,0,0,1
GL,1963,0,3,0,0,0,0,0,3
LU,1963,1,0,0,0,0,0,0,1
NE,1963,0,0,0,0,1,0,0,1
SG,1963,0,0,0,1,0,0,0,1
SO,1963,0,0,1,0,0,0,0,1
SZ,1963,1,0,0,0,0,1,0,2
ZH,1963,0,3,0,0,0,0,0,3
AG,1964,1,1,0,0,0,0,0,2
BE,1964,0,0,0,2,0,0,0,2
BS,1964,0,1,1,1,0,0,0,3
FR,1964,0,1,0,0,0,0,0,1
GL,1964,1,1,0,0,0,0,0,2
JU,1964,0,0,0,0,1,0,0,1
LU,1964,0,0,0,1,0,0,0,1
NE,1964,0,0,0,1,0,0,0,1
SG,1964,1,0,0,0,0,0,0,1
SO,1964,0,3,0,0,0,0,0,3
SZ,1964,0,0,0,0,0,1,0,1
TG,1964,0,0,0,1,0,0,0,1
ZG,1964,0,1,0,0,0,0,0,1
ZH,1964,1,1,0,1,0,0,0,3
BL,1965,0,0,0,2,0,0,0,2
LU,1965,0,1,0,0,0,0,0,1
NE,1965,0,0,0,2,0,0,0,2
OW,1965,1,0,0,0,0,0,0,1
SH,1965,0,0,1,0,0,0,0,1
SO,1965,0,0,0,1,0,0,0,1
TG,1965,0,0,0,1,0,0,0,1
ZG,1965,2,0,0,0,0,0,0,2
ZH,1965,0,0,1,1,0,0,0,2
AG,1966,1,1,1,1,0,1,0,5
BE,1966,0,0,0,1,1,0,0,2
BS,1966,0,0,1,0,0,1,0,2
FR,1966,0,0,0,17,0,0,0,17
GL,1966,0,2,0,0,0,0,0,2
GR,1966,1,0,0,0,0,0,0,1
LU,1966,0,1,0,0,0,0,0,1
SG,1966,1,0,0,1,0,1,0,3
SH,1966,0,0,0,0,0,1,0,1
TI,1966,0,0,0,1,0,0,0,1
UR,1966,0,0,0,0,1,0,0,1
ZG,1966,0,1,0,0,0,0,0,1
ZH,1966,1,0,0,1,0,0,0,2
AG,1967,0,0,0,0,0,1,0,1
BL,1967,0,0,0,0,0,1,0,1
BS,1967,0,1,0,1,0,0,0,2
FR,1967,1,0,0,0,0,0,0,1
GL,1967,0,0,0,0,0,1,0,1
LU,1967,0,0,0,1,0,0,0,1
NW,1967,0,1,0,0,0,0,0,1
SG,1967,0,2,0,0,0,0,0,2
SO,1967,1,0,0,2,0,2,0,5
SZ,1967,0,0,0,1,0,0,0,1
ZH,1967,0,0,0,3,0,1,0,4
AG,1968,1,1,0,0,0,0,0,2
BL,1968,0,1,1,2,0,0,0,4
BS,1968,0,1,0,0,0,0,1,2
LU,1968,0,0,0,1,0,0,2,3
NE,1968,0,0,0,1,0,1,0,2
SG,1968,1,0,0,0,0,0,0,1
SH,1968,0,0,1,0,0,1,0,2
SO,1968,0,0,0,1,0,0,0,1
TG,1968,0,0,0,0,0,1,0,1
ZH,1968,0,0,0,0,0,1,0,1
AG,1969,0,2,2,1,1,0,0,6
AR,1969,1,0,0,0,0,0,0,1
BE,1969,0,0,0,1,0,0,0,1
BL,1969,0,0,0,0,2,0,0,2
BS,1969,1,0,1,0,0,0,0,2
GR,1969,1,0,0,1,0,0,0,2
JU,1969,1,0,0,0,0,0,0,1
LU,1969,0,0,0,2,0,0,0,2
NE,1969,0,0,0,1,1,0,0,2
NW,1969,1,0,0,0,1,3,0,5
SG,1969,2,1,0,0,0,0,0,3
SO,1969,1,1,0,0,1,0,0,3
VS,1969,0,1,0,0,1,0,0,2
ZH,1969,0,1,0,3,0,0,0,4
AG,1970,1,0,0,0,0,0,0,1
AR,1970,0,0,0,0,0,0,1,1
BE,1970,0,0,0,1,0,0,0,1
BL,1970,1,0,0,0,0,0,0,1
BS,1970,0,0,0,1,0,0,0,1
GR,1970,1,2,0,0,0,0,0,3
LU,1970,0,1,0,3,0,0,0,4
NE,1970,0,0,0,0,0,1,0,1
SG,1970,4,0,0,1,1,0,0,6
SO,1970,1,0,1,0,0,0,1,3
SZ,1970,1,1,0,0,0,0,1,3
ZH,1970,2,0,0,2,0,0,0,4
AG,1971,0,2,0,0,0,0,0,2
AI,1971,2,0,0,0,0,0,0,2
AR,1971,0,1,0,0,0,0,0,1
BE,1971,0,1,0,0,0,0,0,1
BL,1971,0,0,0,1,0,0,0,1
BS,1971,1,1,2,0,1,0,0,5
FR,1971,0,0,0,0,1,0,0,1
GL,1971,0,0,1,0,0,0,0,1
GR,1971,1,1,2,0,0,0,0,4
LU,1971,0,1,0,1,0,0,0,2
SG,1971,1,0,1,1,0,1,0,4
SO,1971,2,2,2,0,0,0,0,6
TG,1971,0,1,0,0,0,0,0,1
TI,1971,0,0,0,1,0,0,0,1
ZH,1971,1,0,1,0,1,0,0,3
AG,1972,1,1,1,0,1,0,1,5
AI,1972,0,1,0,0,1,0,1,3
BE,1972,1,1,0,0,0,0,0,2
BL,1972,2,0,0,2,0,1,0,5
BS,1972,1,1,1,1,0,0,0,4
FR,1972,0,0,0,1,0,0,0,1
GL,1972,0,0,1,0,0,0,0,1
GR,1972,1,0,0,0,0,0,1,2
LU,1972,1,0,0,0,0,0,1,2
NE,1972,1,0,0,1,0,0,0,2
NW,1972,0,0,0,1,0,0,0,1
OW,1972,0,0,0,1,0,0,1,2
SG,1972,1,0,0,1,0,2,0,4
SH,1972,0,1,0,0,0,0,0,1
SO,1972,0,0,0,1,0,0,1,2
SZ,1972,0,0,0,0,0,0,1,1
TG,1972,1,0,0,0,0,0,0,1
ZG,1972,0,0,0,1,0,0,0,1
ZH,1972,0,0,0,1,0,0,0,1
AG,1973,1,1,0,0,0,0,0,2
AI,1973,1,1,0,1,0,0,0,3
AR,1973,0,0,0,1,0,1,0,2
BE,1973,0,0,1,0,0,1,0,2
BL,1973,0,1,0,1,0,0,0,2
BS,1973,1,2,3,1,0,0,0,7
FR,1973,0,0,0,0,0,0,1,1
LU,1973,4,0,0,1,0,0,0,5
NW,1973,0,0,0,0,0,0,1,1
OW,1973,0,1,0,2,0,0,0,3
SH,1973,1,1,1,0,0,0,0,3
SO,1973,0,0,2,0,0,0,0,2
SZ,1973,0,0,1,1,0,0,0,2
TG,1973,0,0,0,1,1,0,0,2
ZG,1973,0,0,0,0,0,0,1,1
BE,1974,0,2,0,0,0,0,0,2
BL,1974,1,0,1,0,0,1,0,3
BS,1974,2,0,0,3,0,0,0,5
GL,1974,1,0,1,0,0,0,0,2
GR,1974,1,1,2,0,0,0,2,6
JU,1974,0,1,0,0,1,0,0,2
LU,1974,0,0,0,2,0,0,0,2
NW,1974,0,0,0,1,0,0,0,1
SG,1974,1,0,1,3,0,1,0,6
SH,1974,1,0,0,0,0,0,0,1
SO,1974,2,0,2,1,0,0,0,5
SZ,1974,0,0,1,1,0,1,0,3
TG,1974,0,1,0,1,0,0,0,2
TI,1974,0,0,0,1,0,0,0,1
VS,1974,0,1,1,0,0,0,0,2
ZG,1974,1,0,0,0,0,0,0,1
ZH,1974,1,0,0,0,0,0,0,1
