# Swiss Law Collection — cantonal acts of type 'Parliamentary ordinance (decree)' by canton, year and topic (full systematics depth)
# counting_unit: published_copies — one count per canton whose collection publishes the act
# year = enactment year; 'unknown' rows are undated laws
# topic = the LexFind global-systematics path at the depth the source classifies the act, French labels joined by '.' (Etat.Dispositions générales.contrôle des habitants); acts classified only at the top level appear at that depth, unclassified ones as 'Non classé'
# same counts as the canton x year x domain export next to this file, keyed on the full code instead of its first segment: for any (canton, year) the two sum to the same number
# dotted codes and labels in de/fr/it/en: api/v1/categories/global_paths.json
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,topic,number
AG,1999,"Etat.Autorités.Gouvernement et administration.Droit du personnel.Traitements, indemnités",1
AG,1999,"Enseignement, sciences, documentation et culture.Degré tertiaire: Ecoles supérieures",1
AG,1999,"Enseignement, sciences, documentation et culture.Corps enseignant.Prévoyance professionnelle, caisses de pensions",1
AG,1999,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
AG,1999,"Santé, travail, droit des assurances sociales, logement, homes",1
AG,1999,Publications sans texte,1
AG,2000,Etat.Autorités.Parlement.Indemnisation des parlementaires,1
AG,2000,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Exonération et allégements fiscaux",1
AG,2001,"Enseignement, sciences, documentation et culture",1
AG,2002,Etat,1
AG,2002,Etat.Communes.Répartition des tâches entre canton et communes,1
AG,2003,"Etat.Autorités.Organisation judiciaire.Autorités judiciaires.Tribunaux administratifs, des assurances et des assurances sociales",1
AG,2003,"Etat.Autorités.Organisation judiciaire.Autorités judiciaires.Tribunaux de district / d'arrondissement, juges de paix",1
AG,2003,Etat.Communes.Répartition des tâches entre canton et communes,1
AG,2003,"Enseignement, sciences, documentation et culture.Degré secondaire II: Formation professionnelle initiale.Ecoles professionnelles.Enseignement ménager",1
AG,2003,"Enseignement, sciences, documentation et culture.Corps enseignant.Prévoyance professionnelle, caisses de pensions",1
AG,2003,"Santé, travail, droit des assurances sociales, logement, homes",1
AG,2004,"Etat.Autorités.Gouvernement et administration.Droit du personnel.Pensions, prestations d'assurance",1
AG,2004,"Enseignement, sciences, documentation et culture",1
AG,2004,"Enseignement, sciences, documentation et culture.Corps enseignant.Traitement, indemnités",1
AG,2005,Etat.Communes.Répartition des tâches entre canton et communes,1
AG,2005,"Défense nationale, protection de la population, police",1
AG,2005,"Finances, Impôts, monopoles, entreprises d'état.Finances.Budget, comptes",1
AG,2005,"Santé, travail, droit des assurances sociales, logement, homes",1
AG,2006,"Etat.Autorités.Gouvernement et administration.Droit du personnel.Pensions, prestations d'assurance",1
AG,2006,Droit pénal.Droit pénal des mineurs et procédure pénale des mineurs,1
AG,2007,"Enseignement, sciences, documentation et culture.Contributions à la formation.Bourses d'études",1
AG,2008,Etat.Autorités.Gouvernement et administration.Gouvernement.Indemnités,1
AG,2008,Etat.Autorités.Organisation judiciaire.Rémunération et indemnités des juges,1
AG,2008,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Travaux publics.Aménagement des eaux.Utilisation des eaux",1
AG,2009,"Enseignement, sciences, documentation et culture.Degré secondaire II.Ecole moyenne",1
AG,2010,"Etat.Dispositions générales.Territoire.Délimitations territoriales, districts",1
AG,2010,"Etat.Autorités.Gouvernement et administration.Droit du personnel.Pensions, prestations d'assurance",1
AG,2010,"Etat.Autorités.Organisation judiciaire.Autorités judiciaires.Tribunaux de district / d'arrondissement, juges de paix",1
AG,2010,Etat.Autorités.Organisation judiciaire.Rémunération et indemnités des juges,1
AG,2011,"Etat.Professions juridiques.Notaires.Taxes, tarifs",1
AG,2011,"Droit civil.Dispositions d'introduction du code civil.Droits réels.Registre foncier, mensurations cadastrales",1
AG,2011,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Aménagement du territoire et constructions.Plans",1
AG,2012,Etat.Autorités.Gouvernement et administration.New Public Management,1
AG,2015,"Finances, Impôts, monopoles, entreprises d'état",1
AG,2016,Etat.Autorités.Gouvernement et administration.Gouvernement.Pensions,1
AG,2016,Etat.Communes.Finances communales,1
AG,2016,Etat.Communes.Répartition des tâches entre canton et communes,1
AG,2016,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.LAMAL.Réduction des primes",1
AG,2021,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Travaux publics.Marchés publics",1
AG,2024,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Aménagement du territoire et constructions.Plans",1
AG,2025,"Enseignement, sciences, documentation et culture.Degré prescolaire, école primaire, degré secondaire I.Ecole enfantine",1
AG,2025,"Enseignement, sciences, documentation et culture.Corps enseignant.Traitement, indemnités",1
AI,1876,Economie.Commerce.Poids et mesures. moyens de paiement,1
AI,1897,Droit civil,1
AI,1911,Droit civil.Dispositions générales d'introduction du code des obligations.Des divers contrats.Enchères,1
AI,1918,Droit civil,1
AI,1918,"Santé, travail, droit des assurances sociales, logement, homes.Droit du travail.Offices de conciliation",1
AI,1920,Etat.Dispositions générales.Territoire.Frontières,1
AI,1921,Etat.Dispositions générales.Territoire.Frontières,2
AI,1924,"Etat.Dispositions générales.Droits fondamentaux, droits politiques.droits politiques.Landsgemeinde",1
AI,1925,"Finances, Impôts, monopoles, entreprises d'état.Finances.Contributions étatiques, subventions",1
AI,1925,Non classé,1
AI,1937,Non classé,1
AI,1942,"Santé, travail, droit des assurances sociales, logement, homes.Droit du travail.Travail à domicile",1
AI,1943,Droit pénal,1
