# Swiss Law Collection — cantonal acts of type 'Ordinance' by canton, year and topic (full systematics depth)
# counting_unit: published_copies — one count per canton whose collection publishes the act
# year = enactment year; 'unknown' rows are undated laws
# topic = the LexFind global-systematics path at the depth the source classifies the act, French labels joined by '.' (Etat.Dispositions générales.contrôle des habitants); acts classified only at the top level appear at that depth, unclassified ones as 'Non classé'
# same counts as the canton x year x domain export next to this file, keyed on the full code instead of its first segment: for any (canton, year) the two sum to the same number
# dotted codes and labels in de/fr/it/en: api/v1/categories/global_paths.json
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,topic,number
AG,1984,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.LAA",1
AG,1985,Etat,1
AG,1985,Droit civil.Dispositions d'introduction du code civil.Droits réels.Estimation officielle des immeubles,1
AG,1985,"Enseignement, sciences, documentation et culture",1
AG,1985,"Enseignement, sciences, documentation et culture.Degré prescolaire, école primaire, degré secondaire I.Ecole primaire, degré secondaire I",1
AG,1985,"Enseignement, sciences, documentation et culture.Degré secondaire II: Formation professionnelle initiale.Solutions transitoires",1
AG,1985,"Enseignement, sciences, documentation et culture.Degré tertiaire: Ecoles supérieures",1
AG,1985,"Enseignement, sciences, documentation et culture.Pédagogie spécialisée.Ecoles spécialisées",1
AG,1985,"Enseignement, sciences, documentation et culture.Contributions à la formation.Ecolages",1
AG,1985,"Santé, travail, droit des assurances sociales, logement, homes",1
AG,1986,Etat.Communes.Contributions financières des communes,1
AG,1986,Droit civil.Dispositions générales d'introduction du code des obligations.Des divers contrats.Bail à loyer et à ferme.Bail à ferme agricole,1
AG,1986,"Enseignement, sciences, documentation et culture",1
AG,1986,"Défense nationale, protection de la population, police.Protection de la population.Protection contre les incendies / éléments naturels.Protection contre les incendies",1
AG,1987,Etat,1
AG,1987,Droit civil.Dispositions d'introduction du code civil.Droits réels.Acquisitions des terrains par des personnes domiciliées à l'étranger,1
AG,1987,"Enseignement, sciences, documentation et culture",1
AG,1988,"Etat.Dispositions générales.Droits fondamentaux, droits politiques.droits politiques.Elections et votations",1
