# Swiss Law Collection — cantonal acts of type 'Regulation' by canton, year and legal domain
# counting_unit: published_copies — one count per canton whose collection publishes the act; this is the unit the site's year chart uses, so the two agree for any year
# year = enactment year; 'unknown' rows are undated laws
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,etat,sante,educ,infra,eco,fin,autres,total
GE,1978,2,1,0,2,1,0,1,7
GL,1978,2,0,0,0,0,0,1,3
GR,1978,0,0,1,0,0,0,0,1
JU,1978,1,2,5,1,0,0,1,10
NE,1978,0,4,12,0,2,0,0,18
TI,1978,0,0,0,0,0,0,2,2
VD,1978,1,1,0,0,2,0,0,4
VS,1978,0,0,0,0,0,1,0,1
FR,1979,0,0,1,0,0,0,0,1
GE,1979,2,6,0,0,0,0,1,9
GR,1979,0,1,0,0,0,0,0,1
JU,1979,1,0,0,0,0,0,0,1
LU,1979,0,0,1,0,0,0,0,1
NE,1979,2,0,0,0,0,0,0,2
SG,1979,1,0,0,0,0,0,0,1
TG,1979,1,0,0,0,0,0,0,1
TI,1979,1,2,0,1,0,0,0,4
VD,1979,2,0,2,1,0,0,0,5
VS,1979,1,0,0,0,0,0,0,1
ZH,1979,1,0,0,0,0,0,0,1
BS,1980,2,0,0,0,0,0,0,2
GE,1980,0,0,0,0,1,0,0,1
JU,1980,0,0,0,0,1,0,1,2
NE,1980,0,2,1,1,0,1,0,5
NW,1980,1,0,0,0,0,0,0,1
SG,1980,0,0,1,0,0,0,0,1
SZ,1980,1,0,0,0,0,0,0,1
TI,1980,0,2,0,0,0,0,0,2
VD,1980,0,0,1,0,0,0,0,1
VS,1980,0,0,0,0,2,0,0,2
ZG,1980,0,0,0,3,0,0,0,3
FR,1981,1,1,0,0,0,0,0,2
GE,1981,2,1,1,0,1,0,0,5
GL,1981,0,0,2,0,0,0,0,2
JU,1981,1,0,0,0,0,0,0,1
NE,1981,2,0,1,0,0,0,0,3
SG,1981,0,0,1,0,0,0,0,1
SO,1981,0,0,0,1,0,0,0,1
TI,1981,0,0,1,0,0,0,0,1
VD,1981,1,2,1,0,0,0,1,5
VS,1981,0,0,0,0,0,1,1,2
FR,1982,1,0,0,1,0,0,0,2
GE,1982,5,0,0,2,2,0,0,9
GR,1982,0,0,1,0,0,0,0,1
LU,1982,1,0,2,0,0,0,0,3
NE,1982,2,0,1,0,0,0,0,3
TI,1982,0,0,0,2,0,0,0,2
