# Swiss Law Collection — cantonal acts of type 'Other' by canton, year and topic (full systematics depth)
# counting_unit: published_copies — one count per canton whose collection publishes the act
# year = enactment year; 'unknown' rows are undated laws
# topic = the LexFind global-systematics path at the depth the source classifies the act, French labels joined by '.' (Etat.Dispositions générales.contrôle des habitants); acts classified only at the top level appear at that depth, unclassified ones as 'Non classé'
# same counts as the canton x year x domain export next to this file, keyed on the full code instead of its first segment: for any (canton, year) the two sum to the same number
# dotted codes and labels in de/fr/it/en: api/v1/categories/global_paths.json
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,topic,number
BL,1995,Economie.Arts et métiers.Services.Taxis,1
BL,1996,Etat.Autorités.Gouvernement et administration.Administration.Directions et offices,1
BL,1996,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Professions médicales.Personnel soignant",1
BL,1996,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.LAMAL.Tarifs.Conventions",1
BL,1997,"Enseignement, sciences, documentation et culture.Assurance de la qualité, surveillance, direction.Médecine scolaire, services psychologiques scolaires",1
BL,1997,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.LAMAL.Listes des hôpitaux",1
BL,1998,"Enseignement, sciences, documentation et culture.Pédagogie spécialisée.Ecoles spécialisées",1
BL,1998,Publications sans texte,1
BL,1999,Etat.Autorités.Gouvernement et administration.Administration.Directions et offices,1
BL,1999,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
BL,1999,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.LAMAL.Tarifs.Conventions",2
BL,2000,Etat,1
BL,2000,Etat.Autorités.Gouvernement et administration.Administration.Directions et offices,2
BL,2000,Etat.Eglise et Etat.Eglise catholique romaine,1
BL,2000,"Enseignement, sciences, documentation et culture.Degré secondaire II.Ecoles moyennes supérieures, écoles des culture générale, écoles de degré diplôme",1
BL,2001,Etat.Autorités.Gouvernement et administration.Administration.Directions et offices,1
BL,2001,"Santé, travail, droit des assurances sociales, logement, homes",1
BL,2001,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.LAMAL.Tarifs.Conventions",1
BL,2002,"Enseignement, sciences, documentation et culture",2
BL,2002,"Enseignement, sciences, documentation et culture.Degré prescolaire, école primaire, degré secondaire I.Ecole enfantine",1
BL,2002,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Etablissements hospitaliers, cliniques.Hôpitaux cantonaux",1
BL,2003,Etat.Autorités.Gouvernement et administration.Gouvernement.Chancellerie de l'Etat,1
BL,2003,Etat.Autorités.Gouvernement et administration.Administration.Directions et offices,3
BL,2003,Etat.Professions juridiques.Avocats.Honoraires,1
BL,2003,"Enseignement, sciences, documentation et culture.Degré secondaire II: Formation professionnelle initiale.Orientation professionnelle",1
BL,2003,"Enseignement, sciences, documentation et culture.Formation continue (Degré quaternaire).Formation des adultes",1
BL,2003,"Enseignement, sciences, documentation et culture.Assurance de la qualité, surveillance, direction.Matériel scolaire",1
BL,2003,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.LAMAL.Tarifs.Conventions",1
BL,2004,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Protection des eaux",1
BL,2004,"Santé, travail, droit des assurances sociales, logement, homes",1
BL,2005,Etat.Autorités.Gouvernement et administration.Administration.Directions et offices,1
BL,2005,"Enseignement, sciences, documentation et culture.Documentation.Bibliothèques",1
BL,2005,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.LAMAL.Tarifs.Conventions",1
BL,2005,"Santé, travail, droit des assurances sociales, logement, homes.Assistance.Homes.Etablissements pour personnes âgées",1
BL,2006,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Protection des eaux",1
BL,2007,"Santé, travail, droit des assurances sociales, logement, homes",1
BL,2007,"Santé, travail, droit des assurances sociales, logement, homes.Assistance.Homes.Etablissements pour personnes âgées",1
BL,2008,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Prévention des dépendances.Alcoolisme",1
BL,2009,Etat.Autorités.Gouvernement et administration.New Public Management,1
BL,2009,"Finances, Impôts, monopoles, entreprises d'état.Finances.Contrôle des finances",1
BL,2011,"Etat.Autorités.Organisation judiciaire.Autorités judiciaires.Juges d'instruction, Ministère public.Ministère public",1
BL,2011,"Enseignement, sciences, documentation et culture.Documentation.Musées",1
BL,2012,"Enseignement, sciences, documentation et culture.Documentation.Bibliothèques",1
BL,2012,"Enseignement, sciences, documentation et culture.Documentation.Musées",1
BL,2012,"Santé, travail, droit des assurances sociales, logement, homes",1
BL,2012,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.LPP",1
BL,2017,Etat.Autorités.Gouvernement et administration.Administration.Directions et offices,1
BL,2017,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Travaux publics.Marchés publics",1
BL,2018,"Enseignement, sciences, documentation et culture.Degré secondaire II: Formation professionnelle initiale.Orientation professionnelle",1
BL,2020,"Santé, travail, droit des assurances sociales, logement, homes",1
BL,2021,"Santé, travail, droit des assurances sociales, logement, homes",1
BS,1876,Etat.Communes.Finances communales,2
BS,1882,"Enseignement, sciences, documentation et culture.Degré tertiaire: universités.Faculté de sciences naturelles",1
BS,1900,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Transports publics.Transports ferroviaires",1
BS,1907,Etat.Communes.Fusions communales,1
BS,1919,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de la nature et du paysage.Protection du paysage",1
BS,1921,"Economie.Commerce.Foires, marchés",1
BS,1922,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Transports publics.Transports ferroviaires",2
BS,1925,"Enseignement, sciences, documentation et culture.Degré tertiaire: universités.Faculté de sciences naturelles",1
BS,1925,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Travaux publics.Aménagement des eaux.Corrections des eaux / Protection contre les crues",1
BS,1925,"Santé, travail, droit des assurances sociales, logement, homes.Assistance.Donations et collectes publiques",1
BS,1927,"Défense nationale, protection de la population, police.Douanes.Protection des frontières",1
BS,1928,"Economie.Commerce.Foires, marchés",1
BS,1930,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
BS,1930,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Aménagement du territoire et constructions.Plans",1
BS,1930,"Santé, travail, droit des assurances sociales, logement, homes",1
BS,1931,"Enseignement, sciences, documentation et culture.Assurance de la qualité, surveillance, direction.Direction",1
BS,1932,Etat,1
BS,1935,"Economie.Arts et métiers.Services.Institutions de crédit / assurances.Banques, bourses",1
BS,1937,"Enseignement, sciences, documentation et culture.Degré tertiaire: universités.Faculté de théologie",1
BS,1937,"Enseignement, sciences, documentation et culture.Documentation.Archives",1
BS,1938,"Enseignement, sciences, documentation et culture.Documentation.Archives",1
BS,1941,Etat.Autorités.Parlement.Indemnisation des parlementaires,1
BS,1943,"Enseignement, sciences, documentation et culture.Degré tertiaire: universités.Faculté de théologie",1
BS,1943,"Santé, travail, droit des assurances sociales, logement, homes",1
BS,1943,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Lutte contre les maladies.Epidémies, pandémies",1
BS,1943,Economie.Agriculture.Production animale.Commerce du bétail,1
BS,1947,Etat.Eglise et Etat.Autres religions,1
BS,1947,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Aménagement du territoire et constructions.Plans",1
BS,1949,"Finances, Impôts, monopoles, entreprises d'état.Finances.Contributions étatiques, subventions",1
BS,1950,Etat.Dispositions générales.Territoire.Frontières,1
BS,1950,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
BS,1951,"Enseignement, sciences, documentation et culture.Degré tertiaire: universités.Faculté de sciences naturelles",1
BS,1955,Etat,1
BS,1955,"Santé, travail, droit des assurances sociales, logement, homes",1
BS,1957,"Enseignement, sciences, documentation et culture.Sport scolaire",1
BS,1958,"Enseignement, sciences, documentation et culture.Assurance de la qualité, surveillance, direction.Surveillance scolaire",1
BS,1958,"Santé, travail, droit des assurances sociales, logement, homes",1
BS,1958,"Santé, travail, droit des assurances sociales, logement, homes.Assistance.Protection de la jeunesse, aide à la jeunesse",1
BS,1960,"Enseignement, sciences, documentation et culture.Sciences, recherche",1
BS,1960,"Santé, travail, droit des assurances sociales, logement, homes",1
BS,1962,"Enseignement, sciences, documentation et culture.Sciences, recherche",1
BS,1963,"Enseignement, sciences, documentation et culture.Degré tertiaire: universités.Faculté de droit",1
BS,1965,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Navigation.Police de la navigation",1
BS,1965,"Santé, travail, droit des assurances sociales, logement, homes",2
BS,1967,"Enseignement, sciences, documentation et culture.Assurance de la qualité, surveillance, direction.Matériel scolaire",1
BS,1967,Economie.Commerce.Commerce itinérant,1
BS,1968,"Enseignement, sciences, documentation et culture.Documentation.Bibliothèques",1
BS,1969,"Défense nationale, protection de la population, police",1
BS,1970,"Enseignement, sciences, documentation et culture.Degré secondaire II: Formation professionnelle initiale.Orientation professionnelle",1
BS,1970,"Finances, Impôts, monopoles, entreprises d'état.Finances.Contributions étatiques, subventions",1
BS,1970,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Transports publics.Transports régionaux",2
BS,1971,"Santé, travail, droit des assurances sociales, logement, homes",1
BS,1973,Etat,2
BS,1973,"Enseignement, sciences, documentation et culture.Degré prescolaire, école primaire, degré secondaire I.Ecole primaire, degré secondaire I",1
BS,1973,"Enseignement, sciences, documentation et culture.Degré tertiaire: universités.Faculté de sciences naturelles",1
BS,1973,"Santé, travail, droit des assurances sociales, logement, homes.Assistance.Donations et collectes publiques",1
BS,1974,"Enseignement, sciences, documentation et culture.Corps enseignant.Formation",1
BS,1974,"Défense nationale, protection de la population, police.Sécurité intérieure.Maintien de la tranquillité et de l'ordre public.Domaine public",1
BS,1974,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Hygiène.Inhumations, cimetières",1
