# Swiss Law Collection — laws without a plausible enactment date (correction template)
# fill corrected_enactment_date (YYYY-MM-DD) and correction_note (source/citation), then run: legalize-ch import-dates undated_laws.csv — corrections are applied to the law files as enactment_date_source: manual_import and improve the statistics on the next regeneration
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
entity,id,title,category_type,languages,raw_dates,enactment_date_source,reason,link,corrected_enactment_date,correction_note
FR,"131.1.3","Gehälter und berufliche Vorsorge der Kantonsrichter","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/131.1.3.md,,
FR,"131.3","Gehälter und berufliche Vorsorge der Kantonsrichter","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/131.3.md,,
FR,"131.5.0","Friedensgerichte und Friedensrichter","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/131.5.0.md,,
FR,"132.12","Gleichstellung von Frau und Mann [Besondere Gerichtsbarkeiten]","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/132.12.md,,
FR,"132.5","Schiedsgerichtsbarkeit","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/132.5.md,,
FR,"136.18","Unentgeltliche Rechtspflege im Bereich der fürsorgerischen","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/136.18.md,,
FR,"137.27","Entschädigungen der amtlichen Rechtsbeistände","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/137.27.md,,
FR,"140.8","Vorgezogene Gesamterneuerungswahlen","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/140.8.md,,
FR,"141.0.0","Gemeinden - Gebietsaufteilung - Namen - Im Allgemeinen","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/141.0.0.md,,
FR,"150.5","Ablauf von Fristen im Verwaltungsverfahren","Anderes",de|fr,"{""enactment_date"": ""1000-01-01""}",lexfind_family,implausible_date,https://github.com/benjamin-arfa/swiss-law/blob/main/ch/fr/de/150.5.md,,
