# Swiss Law Collection — cantonal acts of type 'Intercantonal agreement' by canton, year and legal domain
# year = enactment year; 'unknown' rows are undated laws
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,etat,sante,educ,infra,eco,fin,autres,total
GL,1943,0,0,0,0,1,0,0,1
GR,1943,0,0,0,0,1,1,0,2
JU,1943,0,0,0,0,1,0,0,1
LU,1943,0,0,0,0,1,0,0,1
NE,1943,0,0,1,0,2,0,0,3
NW,1943,0,0,0,0,1,0,0,1
OW,1943,0,0,0,0,1,0,0,1
SG,1943,0,0,0,0,1,0,0,1
SH,1943,0,0,0,0,2,0,0,2
SO,1943,0,0,0,0,1,0,0,1
SZ,1943,0,0,0,0,1,1,0,2
TG,1943,0,0,0,0,1,0,0,1
TI,1943,0,0,0,0,1,0,0,1
UR,1943,0,0,0,0,1,0,0,1
VD,1943,0,0,0,0,1,0,0,1
ZG,1943,0,0,0,0,1,0,0,1
ZH,1943,0,0,0,0,1,0,0,1
AI,1944,0,0,0,0,0,0,1,1
FR,1944,0,0,0,0,0,1,0,1
SO,1944,0,0,0,0,0,1,0,1
SZ,1944,0,0,0,0,0,1,0,1
UR,1944,0,0,0,0,0,0,1,1
VD,1944,0,0,0,0,0,0,1,1
ZH,1944,0,0,0,0,0,1,0,1
SG,1945,0,0,0,0,0,1,0,1
SG,1946,0,0,0,0,0,1,0,1
TI,1947,0,1,0,0,0,0,0,1
ZG,1947,0,0,0,0,0,1,0,1
ZH,1947,0,0,0,0,0,2,0,2
AG,1948,0,0,0,0,0,1,0,1
AI,1948,0,0,0,0,0,1,0,1
AR,1948,0,0,0,0,0,1,0,1
BL,1948,0,0,1,0,0,1,0,2
BS,1948,1,0,0,0,0,1,0,2
FR,1948,0,0,0,0,0,1,0,1
GE,1948,0,0,0,0,0,1,0,1
GL,1948,0,0,0,0,0,1,0,1
GR,1948,0,0,0,0,0,1,0,1
JU,1948,0,0,0,0,0,1,0,1
LU,1948,0,0,0,0,0,1,0,1
NW,1948,0,0,0,0,0,2,0,2
OW,1948,0,0,0,0,0,1,0,1
SG,1948,0,0,0,0,0,1,0,1
SH,1948,0,0,0,0,0,1,0,1
SO,1948,0,0,0,0,0,1,0,1
SZ,1948,0,0,0,0,0,1,0,1
TG,1948,0,0,0,0,0,1,0,1
TI,1948,0,0,0,0,0,1,0,1
UR,1948,0,0,0,0,0,1,0,1
VD,1948,0,0,0,0,0,1,0,1
VS,1948,0,0,0,0,0,1,0,1
ZG,1948,0,0,0,0,0,1,0,1
ZH,1948,0,0,0,0,0,1,0,1
AG,1949,0,0,0,0,0,2,0,2
BS,1949,1,0,0,0,0,0,0,1
ZH,1949,0,0,0,0,0,2,0,2
BL,1950,0,0,0,2,0,0,0,2
FR,1950,0,0,0,1,0,0,0,1
LU,1950,0,0,0,0,0,0,1,1
SO,1950,0,0,0,1,0,0,0,1
AG,1951,0,0,0,1,0,0,0,1
AI,1951,0,0,0,2,0,0,0,2
AR,1951,0,0,0,1,0,0,0,1
BE,1951,0,0,0,1,0,0,0,1
BL,1951,0,0,0,1,0,0,0,1
GL,1951,0,0,0,1,0,0,0,1
GR,1951,0,0,0,1,0,0,0,1
JU,1951,0,0,0,1,0,0,0,1
LU,1951,0,0,0,1,0,0,0,1
NE,1951,0,0,0,1,0,0,0,1
NW,1951,0,0,0,2,0,0,0,2
OW,1951,0,0,0,1,0,0,0,1
SG,1951,0,0,0,2,0,0,0,2
SO,1951,0,0,0,1,0,0,0,1
SZ,1951,0,0,0,1,0,0,0,1
TI,1951,0,0,0,2,0,0,0,2
UR,1951,0,0,0,1,0,0,0,1
VD,1951,0,0,0,1,0,0,0,1
VS,1951,0,0,0,1,0,0,0,1
ZH,1951,0,0,0,1,0,0,1,2
ZH,1952,0,0,0,0,0,1,0,1
JU,1953,1,0,0,0,0,0,0,1
SO,1953,1,0,0,0,0,0,0,1
AI,1954,0,0,0,0,0,1,0,1
BS,1954,1,0,0,0,0,0,0,1
NW,1954,0,0,0,1,0,0,0,1
SG,1954,0,0,0,1,0,0,0,1
SZ,1954,0,0,0,1,0,0,0,1
ZG,1954,0,0,0,0,0,1,0,1
AG,1955,0,0,0,0,0,1,0,1
AI,1955,0,0,0,0,1,1,0,2
AR,1955,0,0,0,0,0,0,1,1
FR,1955,0,0,0,0,0,1,0,1
GR,1955,0,0,0,0,0,1,0,1
SG,1955,0,0,0,0,0,1,0,1
SH,1955,0,0,0,0,0,1,0,1
SZ,1955,0,0,0,0,0,1,0,1
TG,1955,0,0,0,0,0,1,0,1
ZG,1955,0,0,0,0,0,1,0,1
ZH,1955,0,0,0,2,0,2,0,4
AG,1956,0,0,0,0,0,2,0,2
ZH,1956,0,0,0,0,0,1,0,1
BE,1957,0,0,0,0,0,0,1,1
JU,1957,0,0,0,0,0,0,1,1
SH,1957,0,0,0,1,0,0,1,2
VD,1957,0,0,0,0,0,0,1,1
VS,1957,0,0,0,0,0,0,1,1
ZG,1957,0,0,0,0,0,0,1,1
BL,1958,0,0,0,1,0,0,0,1
GR,1958,0,0,0,0,0,1,0,1
SG,1958,0,0,0,2,0,1,0,3
SO,1958,1,0,0,1,0,0,0,2
TG,1958,0,0,0,0,0,1,0,1
VD,1958,0,0,0,2,0,0,0,2
ZG,1958,0,0,0,0,0,1,0,1
ZH,1958,0,0,0,2,0,0,0,2
AG,1959,0,1,0,0,0,0,0,1
BE,1959,1,0,0,0,0,0,0,1
BL,1959,0,1,0,0,0,0,0,1
BS,1959,0,1,0,0,0,0,0,1
LU,1959,0,0,0,0,0,0,1,1
NW,1959,0,1,0,4,0,0,0,5
OW,1959,0,0,0,0,0,0,1,1
SO,1959,0,0,0,0,0,0,1,1
SZ,1959,0,1,0,0,0,0,0,1
UR,1959,0,0,0,0,0,0,1,1
VD,1959,0,0,0,0,0,1,0,1
ZG,1959,0,0,0,0,0,0,1,1
GE,1960,0,0,0,1,0,0,0,1
NE,1960,0,0,0,1,0,1,0,2
SG,1960,0,0,0,0,0,1,0,1
SO,1960,0,0,0,1,0,0,0,1
VD,1960,0,0,0,0,0,1,0,1
ZH,1960,0,0,0,0,0,1,0,1
BS,1961,1,0,0,0,0,0,0,1
SG,1961,0,0,0,1,0,0,0,1
BL,1962,0,0,0,1,0,2,0,3
SO,1962,0,1,0,0,0,0,0,1
BL,1963,0,0,1,0,0,0,0,1
BS,1963,0,1,0,0,0,0,0,1
SZ,1963,0,0,0,0,0,1,0,1
AG,1964,0,0,0,0,1,0,0,1
AR,1964,0,0,0,0,0,0,1,1
BE,1964,0,0,0,0,1,0,0,1
BL,1964,0,0,1,0,1,0,0,2
BS,1964,0,0,0,1,2,0,0,3
FR,1964,0,0,0,0,1,0,0,1
GE,1964,0,0,0,1,1,0,0,2
JU,1964,0,0,0,0,1,0,0,1
LU,1964,0,0,1,0,0,0,0,1
OW,1964,0,0,0,0,1,0,0,1
SG,1964,0,1,0,0,0,1,0,2
SH,1964,0,0,1,0,0,0,0,1
SO,1964,0,0,0,0,1,0,0,1
SZ,1964,0,0,1,0,0,0,0,1
TG,1964,0,1,0,0,0,0,0,1
TI,1964,0,0,0,0,1,0,0,1
UR,1964,0,0,0,0,1,0,0,1
VD,1964,0,0,0,0,1,0,0,1
ZG,1964,0,0,0,0,1,0,0,1
ZH,1964,0,0,0,0,0,1,0,1
SG,1965,1,0,0,0,1,2,0,4
SO,1965,0,0,0,0,0,1,0,1
TI,1965,0,0,0,0,0,3,0,3
NW,1966,0,0,0,0,1,0,0,1
