# Swiss Law Collection — cantonal acts of type 'Act' by canton, year and legal domain
# counting_unit: published_copies — one count per canton whose collection publishes the act; this is the unit the site's year chart uses, so the two agree for any year
# year = enactment year; 'unknown' rows are undated laws
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,etat,sante,educ,infra,eco,fin,autres,total
FR,1942,0,0,0,0,0,0,1,1
LU,1942,0,0,1,0,0,0,0,1
NE,1942,0,0,0,0,1,0,0,1
GE,1943,1,0,0,0,0,0,0,1
SO,1943,0,1,0,0,0,0,0,1
SZ,1943,0,1,0,0,0,0,0,1
ZH,1943,1,1,0,0,0,0,0,2
AG,1944,0,2,0,0,0,0,0,2
BS,1944,0,0,0,0,0,0,1,1
GR,1944,1,0,0,0,0,0,0,1
SO,1944,0,0,1,0,0,0,0,1
TI,1944,0,0,0,1,0,0,0,1
VD,1944,0,0,0,1,1,0,0,2
BE,1945,1,0,0,0,0,0,0,1
BS,1945,0,0,0,0,0,0,1,1
GE,1945,0,0,0,0,0,1,0,1
NE,1945,0,0,0,0,0,0,1,1
TI,1945,1,0,0,0,0,0,1,2
GE,1946,0,0,0,0,1,0,0,1
GL,1946,1,0,0,0,0,0,0,1
JU,1946,0,1,0,0,0,0,0,1
LU,1946,0,0,0,0,1,0,0,1
NE,1946,0,0,0,0,1,0,0,1
SO,1946,1,1,0,0,0,0,0,2
SZ,1946,0,1,0,0,0,0,0,1
ZG,1946,1,0,0,0,0,0,0,1
TG,1947,0,1,0,0,0,0,0,1
VD,1947,1,0,0,0,0,1,1,3
AR,1948,0,0,0,0,1,0,0,1
BS,1948,1,0,0,0,0,0,0,1
GL,1948,0,2,0,0,0,0,0,2
LU,1948,1,0,0,0,0,0,0,1
VD,1948,1,0,0,0,0,0,0,1
AI,1949,0,0,0,0,0,0,1,1
AR,1949,0,1,0,0,0,0,0,1
FR,1949,1,0,0,0,0,0,1,2
NE,1949,0,0,0,0,1,0,0,1
VS,1949,0,1,0,0,0,0,0,1
BL,1950,1,0,0,2,0,0,0,3
GE,1950,0,0,0,0,1,0,0,1
GL,1950,0,1,0,0,0,0,0,1
VS,1950,0,1,0,0,0,0,0,1
AG,1951,0,1,0,0,0,0,0,1
BS,1951,0,1,0,0,0,0,0,1
FR,1951,0,0,1,0,0,0,0,1
GE,1951,0,1,0,0,0,0,0,1
GL,1951,0,2,0,0,0,0,0,2
NE,1951,2,0,0,0,0,0,0,2
SH,1951,0,1,0,0,0,0,0,1
TI,1951,0,0,0,1,0,0,0,1
BS,1952,0,1,0,0,0,0,0,1
GE,1952,0,1,0,0,0,0,0,1
SG,1952,0,1,0,0,0,0,0,1
UR,1952,0,0,0,1,0,0,0,1
VD,1952,1,1,0,0,0,0,0,2
FR,1953,1,0,0,0,0,0,1,2
GE,1953,0,0,0,0,0,0,1,1
GR,1953,0,0,0,1,0,0,0,1
LU,1953,0,0,0,0,0,0,1,1
NE,1953,0,0,0,1,0,0,0,1
SG,1953,1,0,0,0,0,0,0,1
SZ,1953,0,2,0,0,0,0,0,2
VS,1953,1,0,0,0,0,1,0,2
ZG,1953,0,1,0,0,0,0,0,1
AG,1954,0,0,0,1,0,0,0,1
OW,1954,0,1,0,0,0,0,0,1
SO,1954,0,0,0,0,0,0,1,1
TI,1954,1,0,0,0,0,0,0,1
VD,1954,1,1,0,0,0,0,0,2
AG,1955,1,0,0,0,0,0,0,1
BL,1955,0,0,1,0,0,0,0,1
NE,1955,1,0,0,0,0,0,0,1
SG,1955,1,0,0,0,0,0,0,1
SZ,1955,0,0,0,0,0,0,1,1
VD,1955,0,0,0,0,0,0,2,2
GE,1956,1,0,0,0,0,0,0,1
GR,1956,0,0,0,0,0,0,1,1
NE,1956,0,1,0,0,0,0,0,1
SH,1956,1,0,0,0,0,0,0,1
TI,1956,1,0,0,0,0,0,0,1
VD,1956,1,0,0,0,0,1,0,2
FR,1957,0,0,0,0,0,1,0,1
GE,1957,1,0,0,1,1,0,0,3
GR,1957,0,2,0,0,0,0,0,2
LU,1957,1,0,0,0,0,0,1,2
TI,1957,0,0,0,0,0,0,1,1
VD,1957,2,0,0,0,1,1,0,4
AG,1958,0,0,0,0,0,0,1,1
GE,1958,1,2,1,0,1,0,0,5
GR,1958,0,0,0,1,0,1,0,2
OW,1958,0,0,0,1,0,0,0,1
SZ,1958,1,1,0,2,0,0,1,5
TI,1958,0,0,0,1,0,0,0,1
VS,1958,0,1,0,0,0,0,0,1
ZH,1958,0,1,0,0,0,0,0,1
GE,1959,0,0,0,0,0,1,0,1
GR,1959,0,0,1,0,0,0,0,1
JU,1959,0,1,0,0,0,0,0,1
SG,1959,1,0,0,0,1,0,0,2
SZ,1959,0,0,0,0,1,0,0,1
VD,1959,2,0,0,0,0,0,0,2
VS,1959,1,0,0,0,0,0,0,1
ZH,1959,1,0,0,0,0,0,0,1
BS,1960,1,0,0,0,0,0,0,1
FR,1960,0,0,0,0,0,1,0,1
GE,1960,0,0,1,0,0,1,0,2
LU,1960,0,0,0,1,0,0,0,1
NW,1960,0,0,0,0,0,1,0,1
SG,1960,1,0,0,1,0,0,0,2
TI,1960,0,0,0,1,0,0,0,1
AI,1961,0,0,0,1,0,0,0,1
BE,1961,0,1,0,0,0,0,0,1
BL,1961,0,1,0,0,0,0,0,1
FR,1961,0,0,0,1,1,0,0,2
GE,1961,3,1,0,1,0,0,0,5
GR,1961,0,0,0,0,0,1,0,1
LU,1961,0,0,0,0,0,1,1,2
OW,1961,0,1,0,0,0,0,0,1
SO,1961,0,0,0,2,0,0,0,2
SZ,1961,0,0,0,1,0,0,0,1
TI,1961,1,0,0,1,0,0,0,2
VD,1961,1,0,0,0,1,0,0,2
AI,1962,0,1,0,0,0,0,1,2
AR,1962,0,1,0,0,0,0,0,1
BS,1962,0,2,1,0,0,0,0,3
FR,1962,0,0,0,0,1,0,0,1
GE,1962,0,1,0,0,0,0,0,1
GR,1962,0,0,1,0,0,0,0,1
