# Swiss Law Collection — intercantonal agreement memberships, computed: one occurrence per SIGNING canton per agreement (signed by 10 cantons -> 10 occurrences)
# signatories per agreement = cantons publishing the text in their collections + cantons named in any language version's title; no scaling, no external baseline
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,etat,sante,educ,infra,eco,fin,autres,total
VD,1911,0,0,0,1,0,0,0,1
BL,1912,0,0,0,0,0,1,0,1
BS,1912,0,0,0,0,0,1,0,1
NE,1912,0,0,0,0,0,2,0,2
SO,1912,0,0,0,2,0,0,0,2
AG,1914,0,0,0,3,0,0,0,3
AR,1914,0,0,0,1,0,0,0,1
BL,1914,0,0,0,1,0,0,0,1
BS,1914,0,0,0,1,0,0,0,1
GL,1914,0,0,0,3,0,0,0,3
SG,1914,0,0,0,4,0,0,0,4
SH,1914,0,0,0,3,0,0,0,3
SO,1914,0,0,0,1,0,0,0,1
SZ,1914,0,0,0,3,0,0,0,3
TG,1914,0,0,0,3,0,0,0,3
ZG,1914,0,0,0,3,0,0,0,3
ZH,1914,0,0,0,3,0,0,0,3
AG,1915,0,0,0,1,0,0,0,1
GL,1915,0,0,0,1,0,0,0,1
SH,1915,0,0,0,1,0,0,0,1
TG,1915,0,0,0,1,0,0,0,1
ZG,1915,0,0,0,1,0,0,0,1
ZH,1915,0,0,0,1,0,0,0,1
SZ,1916,0,0,0,1,0,0,0,1
ZG,1916,0,0,0,1,0,0,0,1
ZH,1916,0,0,0,1,0,0,0,1
SH,1918,3,0,0,0,0,0,0,3
TG,1918,3,0,0,0,0,0,0,3
BL,1919,0,0,0,1,0,0,0,1
BS,1919,0,0,0,1,0,0,0,1
SZ,1919,0,0,0,2,0,0,0,2
ZG,1919,0,0,0,2,0,0,0,2
ZH,1919,0,0,0,2,0,0,0,2
AG,1922,0,0,0,0,0,1,0,1
AI,1922,0,0,0,0,0,1,0,1
BE,1922,0,0,0,0,0,1,0,1
BL,1922,0,0,0,0,0,1,0,1
BS,1922,0,0,0,0,0,1,0,1
FR,1922,0,0,0,0,0,1,0,1
GL,1922,0,0,0,0,0,1,0,1
GR,1922,0,0,0,0,0,1,0,1
LU,1922,0,0,0,1,0,0,0,1
OW,1922,0,0,0,0,0,1,0,1
SG,1922,0,0,0,0,0,1,0,1
SH,1922,0,0,0,0,0,1,0,1
SO,1922,0,0,0,0,0,1,0,1
SZ,1922,0,0,0,0,0,1,0,1
UR,1922,0,0,0,0,0,1,0,1
VD,1922,0,0,0,0,0,1,0,1
VS,1922,0,0,0,0,0,1,0,1
ZG,1922,0,0,0,0,0,1,0,1
ZH,1922,2,0,0,0,0,1,0,3
GR,1923,0,0,0,0,1,0,0,1
AR,1924,0,1,0,0,0,0,0,1
