# Swiss Law Collection — intercantonal agreement memberships by canton, year and topic (full systematics depth)
# counting_unit: signatory_memberships — one occurrence per SIGNING canton per agreement, the same unit as concordats_memberships.csv (a DIFFERENT unit from the site's year chart, which counts published copies)
# topic = the LexFind global-systematics path at the depth the source classifies the act, French labels joined by '.' (Etat.Dispositions générales.contrôle des habitants); acts classified only at the top level appear at that depth, unclassified ones as 'Non classé'
# same counts as the canton x year x domain export next to this file, keyed on the full code instead of its first segment: for any (canton, year) the two sum to the same number
# dotted codes and labels in de/fr/it/en: api/v1/categories/global_paths.json
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,topic,number
AI,1967,"Finances, Impôts, monopoles, entreprises d'état.Monopoles, régales, entreprises d'état.Pêche.Zones de pêche",1
AI,1969,Etat.Eglise et Etat.Eglise évangélique réformée,1
AI,1969,Droit civil.Arbitrage,2
AI,1969,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",1
AI,1970,"Enseignement, sciences, documentation et culture.Assurance de la qualité, surveillance, direction.Coordination",1
AI,1971,"Enseignement, sciences, documentation et culture.Degré secondaire II: Formation professionnelle initiale.Ecoles professionnelles.Enseignement ménager",1
AI,1971,Economie.Forêt.Formation professionnelle,1
AI,1976,Droit pénal,2
AI,1976,"Défense nationale, protection de la population, police.Sécurité intérieure.Police.Coopération en matière de police",1
AI,1976,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
AI,1976,"Santé, travail, droit des assurances sociales, logement, homes",1
AI,1976,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Etablissements hospitaliers, cliniques.Cliniques psychiatriques",1
AI,1977,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Protection des eaux",2
AI,1978,Etat,1
AI,1980,"Finances, Impôts, monopoles, entreprises d'état.Monopoles, régales, entreprises d'état.Pêche.Zones de pêche",1
AI,1981,"Défense nationale, protection de la population, police.Sécurité intérieure.Police.Coopération en matière de police",1
AI,1981,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",1
AI,1981,"Santé, travail, droit des assurances sociales, logement, homes",2
AI,1981,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Substances thérapeutiques, stupéfiants",1
AI,1982,"Enseignement, sciences, documentation et culture.Pédagogie spécialisée.Classes spéciales",1
AI,1982,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
AI,1982,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Protection des eaux",1
AI,1983,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",1
AI,1983,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Déchets",1
AI,1990,"Enseignement, sciences, documentation et culture.Formation continue (Degré quaternaire).Formation des adultes",1
AI,1990,Economie.Forêt.Formation professionnelle,2
AI,1991,Economie.Forêt.Formation professionnelle,1
AI,1992,Droit pénal.Procédure pénale.Entraide judiciaire,1
AI,1992,"Enseignement, sciences, documentation et culture.Contributions à la formation.Ecolages",1
AI,1993,Etat.Dispositions générales.Collaboration intercantonale,2
AI,1993,"Enseignement, sciences, documentation et culture.Formation continue (Degré quaternaire).Formation des adultes",1
AI,1994,"Enseignement, sciences, documentation et culture.Degré secondaire II: Formation professionnelle initiale.Orientation professionnelle",1
AI,1994,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Déchets",1
AI,1995,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Travaux publics.Marchés publics",1
AI,1998,"Enseignement, sciences, documentation et culture.Degré tertiaire: Ecoles supérieures",1
AI,1999,"Enseignement, sciences, documentation et culture",2
AI,1999,"Enseignement, sciences, documentation et culture.Degré prescolaire, école primaire, degré secondaire I.Ecole primaire, degré secondaire I",1
AI,1999,"Enseignement, sciences, documentation et culture.Degré tertiaire: Hautes écoles.Pédagogie",1
AI,2000,"Enseignement, sciences, documentation et culture.Degré tertiaire: Hautes écoles.Pédagogie",1
AI,2001,"Enseignement, sciences, documentation et culture",3
AI,2002,"Droit civil.Dispositions d'introduction du code civil.Droit des personnes, état civil.Fondations, surveillance.Fondations LPP",1
AI,2002,Economie.Arts et métiers.Services.Jeux de hasard et loteries.Maisons de jeu,1
AI,2003,"Enseignement, sciences, documentation et culture",1
AI,2003,"Enseignement, sciences, documentation et culture.Assurance de la qualité, surveillance, direction.Arrondissements scolaires",1
AI,2005,Etat.Dispositions générales.Collaboration intercantonale,1
AI,2005,"Droit civil.Dispositions d'introduction du code civil.Droit des personnes, état civil.Fondations, surveillance.Fondations LPP",2
AI,2005,"Défense nationale, protection de la population, police.Sécurité intérieure.Police.Personnel",2
AI,2006,"Enseignement, sciences, documentation et culture.Reconnaissance des diplômes",1
AI,2007,"Droit civil.Dispositions d'introduction du code civil.Droit des personnes, état civil.Fondations, surveillance.Fondations LPP",1
AI,2007,"Enseignement, sciences, documentation et culture.Art, culture, sport.Sport",1
AI,2009,"Enseignement, sciences, documentation et culture.Art, culture, sport.Encouragement à la culture",1
AI,2012,Etat.Eglise et Etat.Eglise catholique romaine,1
AI,2016,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Etique",2
AI,2019,"Etat.Communes.Bourgeoisies, allmends",1
AI,2019,"Enseignement, sciences, documentation et culture",2
AI,2019,"Défense nationale, protection de la population, police.Sécurité intérieure.Police.Coopération en matière de police",1
AI,2024,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Produits toxiques et chimiques",1
AI,2025,Droit civil,1
AI,2025,"Santé, travail, droit des assurances sociales, logement, homes",1
AR,1632,Etat.Autorités.Protection des données,1
AR,1901,"Droit civil.Procédure civile.Emoluments, frais",1
AR,1914,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Energie.Electricité",1
AR,1931,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",1
AR,1936,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Exonération et allégements fiscaux",1
AR,1937,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
AR,1937,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Travaux publics.Marchés publics",1
AR,1940,Etat.Professions juridiques.Notaires.Légalisation,1
AR,1940,"Droit civil.Dispositions d'introduction du code civil.Droits réels.Registre foncier, mensurations cadastrales",2
AR,1943,Etat.Dispositions générales.Collaboration intercantonale,1
AR,1948,Etat.Dispositions générales.Collaboration intercantonale,1
AR,1951,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Funiculaires, téléphériques, téléskis",1
AR,1958,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Déchets",1
AR,1967,Etat.Eglise et Etat.Eglise catholique romaine,1
AR,1967,"Finances, Impôts, monopoles, entreprises d'état.Monopoles, régales, entreprises d'état.Pêche.Zones de pêche",1
AR,1967,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Protection des eaux",2
AR,1969,Etat.Eglise et Etat.Eglise évangélique réformée,1
AR,1969,Droit civil.Arbitrage,1
AR,1969,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",2
AR,1969,"Santé, travail, droit des assurances sociales, logement, homes",1
AR,1970,"Enseignement, sciences, documentation et culture.Assurance de la qualité, surveillance, direction.Coordination",1
AR,1971,Economie.Forêt.Formation professionnelle,1
AR,1973,"Enseignement, sciences, documentation et culture.Degré prescolaire, école primaire, degré secondaire I.Ecole primaire, degré secondaire I",2
AR,1976,Droit pénal,2
AR,1976,"Défense nationale, protection de la population, police.Sécurité intérieure.Police.Coopération en matière de police",1
AR,1976,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
AR,1976,"Santé, travail, droit des assurances sociales, logement, homes",2
AR,1976,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Etablissements hospitaliers, cliniques.Cliniques psychiatriques",2
AR,1977,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Protection des eaux",3
AR,1978,Etat,1
AR,1979,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Travaux publics.Aménagement des eaux.Utilisation des eaux",1
AR,1980,"Finances, Impôts, monopoles, entreprises d'état.Monopoles, régales, entreprises d'état.Pêche.Zones de pêche",1
AR,1981,"Enseignement, sciences, documentation et culture.Degré prescolaire, école primaire, degré secondaire I.Ecole primaire, degré secondaire I",1
AR,1981,"Enseignement, sciences, documentation et culture.Pédagogie spécialisée.Ecoles d'art et de sport",2
AR,1981,"Finances, Impôts, monopoles, entreprises d'état.Monopoles, régales, entreprises d'état.Pêche.Zones de pêche",2
AR,1981,"Santé, travail, droit des assurances sociales, logement, homes",2
AR,1981,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Substances thérapeutiques, stupéfiants",1
AR,1982,"Enseignement, sciences, documentation et culture.Pédagogie spécialisée.Classes spéciales",1
AR,1982,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
AR,1983,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Déchets",1
AR,1984,"Enseignement, sciences, documentation et culture",1
AR,1986,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Protection des eaux",1
AR,1990,"Enseignement, sciences, documentation et culture.Degré prescolaire, école primaire, degré secondaire I.Ecole enfantine",2
AR,1990,"Enseignement, sciences, documentation et culture.Formation continue (Degré quaternaire).Formation des adultes",1
AR,1990,Economie.Forêt.Formation professionnelle,3
AR,1991,Economie.Forêt.Formation professionnelle,1
AR,1992,"Enseignement, sciences, documentation et culture.Contributions à la formation.Ecolages",1
AR,1993,Etat.Dispositions générales.Collaboration intercantonale,2
AR,1993,"Enseignement, sciences, documentation et culture.Formation continue (Degré quaternaire).Formation des adultes",1
AR,1994,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Travaux publics.Marchés publics",1
AR,1994,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Déchets",1
AR,1998,"Enseignement, sciences, documentation et culture",1
AR,1999,"Enseignement, sciences, documentation et culture",2
AR,1999,"Enseignement, sciences, documentation et culture.Degré prescolaire, école primaire, degré secondaire I.Ecole primaire, degré secondaire I",1
AR,1999,"Enseignement, sciences, documentation et culture.Degré tertiaire: Hautes écoles.Pédagogie",1
AR,1999,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Hygiène.Denrées alimentaires, objets d'usage courant.Surveillance des aliments",1
AR,2000,"Enseignement, sciences, documentation et culture",1
AR,2000,"Enseignement, sciences, documentation et culture.Degré tertiaire: Hautes écoles.Pédagogie",1
AR,2001,"Enseignement, sciences, documentation et culture",2
AR,2002,"Droit civil.Dispositions d'introduction du code civil.Droit des personnes, état civil.Fondations, surveillance.Fondations LPP",1
AR,2002,Economie.Arts et métiers.Services.Jeux de hasard et loteries.Maisons de jeu,1
AR,2005,"Droit civil.Dispositions d'introduction du code civil.Droit des personnes, état civil.Fondations, surveillance.Fondations LPP",2
AR,2005,"Défense nationale, protection de la population, police.Sécurité intérieure.Police.Personnel",2
AR,2006,"Enseignement, sciences, documentation et culture.Reconnaissance des diplômes",1
AR,2007,"Droit civil.Dispositions d'introduction du code civil.Droit des personnes, état civil.Fondations, surveillance.Fondations LPP",1
AR,2009,"Enseignement, sciences, documentation et culture.Art, culture, sport.Encouragement à la culture",1
AR,2010,"Enseignement, sciences, documentation et culture.Degré secondaire II.Ecole moyenne",1
AR,2012,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",2
AR,2016,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Etique",2
AR,2018,Economie,1
AR,2019,"Etat.Communes.Bourgeoisies, allmends",1
AR,2019,"Enseignement, sciences, documentation et culture",2
AR,2019,"Défense nationale, protection de la population, police.Sécurité intérieure.Police.Coopération en matière de police",1
AR,2023,"Défense nationale, protection de la population, police.Sécurité intérieure.Police.Coopération en matière de police",1
AR,2024,Droit civil,1
AR,2024,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Produits toxiques et chimiques",1
AR,2025,Droit civil,1
AR,2025,"Santé, travail, droit des assurances sociales, logement, homes",1
BE,1632,Etat.Autorités.Protection des données,1
BE,1828,Etat.Eglise et Etat.Eglise catholique romaine,6
BE,1834,Etat,1
BE,1848,Etat.Dispositions générales.Territoire.Frontières,1
BE,1851,Etat.Eglise et Etat.Eglise évangélique réformée,2
BE,1889,Etat.Eglise et Etat.Eglise évangélique réformée,1
BE,1889,"Droit civil.Procédure civile.Emoluments, frais",1
BE,1895,Etat.Dispositions générales.Territoire.Frontières,1
BE,1899,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",1
BE,1903,"Droit civil.Procédure civile.Emoluments, frais",1
BE,1906,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",1
BE,1909,"Défense nationale, protection de la population, police.Sécurité intérieure.Police.Transports de police",1
BE,1922,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",1
BE,1929,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Travaux publics.Aménagement des eaux.Utilisation des eaux",1
BE,1931,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",1
BE,1936,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",1
BE,1936,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Exonération et allégements fiscaux",1
BE,1937,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
BE,1937,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Travaux publics.Marchés publics",1
BE,1943,Etat.Dispositions générales.Collaboration intercantonale,1
BE,1943,Economie.Agriculture.Production animale.Commerce du bétail,1
BE,1948,Etat.Dispositions générales.Collaboration intercantonale,1
