# Swiss Law Collection — cantonal acts of type 'Other' by canton, year and legal domain
# counting_unit: published_copies — one count per canton whose collection publishes the act; this is the unit the site's year chart uses, so the two agree for any year
# year = enactment year; 'unknown' rows are undated laws
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,etat,sante,educ,infra,eco,fin,autres,total
GR,1959,0,0,0,0,0,1,0,1
NE,1959,1,1,0,0,0,0,0,2
SZ,1959,0,0,0,1,0,0,0,1
VD,1959,0,0,2,0,0,0,0,2
VS,1959,0,0,0,3,0,0,0,3
ZH,1959,0,0,0,1,0,0,0,1
BS,1960,0,1,1,0,0,0,0,2
GL,1960,0,0,0,1,0,0,0,1
SG,1960,0,0,0,0,1,0,0,1
SO,1960,3,0,1,1,0,0,0,5
VD,1960,0,0,0,1,0,1,0,2
ZH,1960,0,0,0,0,0,0,1,1
FR,1961,1,0,0,0,0,0,0,1
GE,1961,1,0,0,0,0,0,0,1
GR,1961,1,0,0,0,0,1,0,2
OW,1961,0,0,0,1,0,0,0,1
SO,1961,0,0,1,1,0,0,0,2
SZ,1961,0,0,0,2,0,0,0,2
UR,1961,0,0,1,0,0,0,0,1
VS,1961,0,0,0,1,0,0,0,1
BL,1962,0,0,0,0,0,1,0,1
BS,1962,0,0,1,0,0,0,0,1
FR,1962,0,0,0,0,1,0,0,1
GL,1962,0,0,0,1,0,1,0,2
SH,1962,0,0,1,0,0,0,0,1
SO,1962,1,1,0,0,0,0,0,2
UR,1962,0,0,0,1,0,0,0,1
VD,1962,0,0,0,1,0,0,0,1
BL,1963,0,0,0,0,1,1,0,2
BS,1963,0,0,1,0,0,0,0,1
FR,1963,0,0,0,1,1,0,0,2
GL,1963,0,0,0,2,0,0,0,2
LU,1963,0,0,0,1,0,0,0,1
NE,1963,0,0,0,1,0,0,0,1
SO,1963,0,1,1,3,1,0,0,6
TI,1963,1,1,0,0,0,0,0,2
VD,1963,0,2,0,0,0,1,0,3
VS,1963,0,0,0,1,0,0,0,1
ZH,1963,2,0,0,1,0,0,0,3
BE,1964,0,0,0,0,0,1,0,1
FR,1964,1,0,0,0,0,0,1,2
GL,1964,0,0,0,0,1,0,0,1
GR,1964,0,1,0,0,0,0,0,1
NE,1964,0,0,0,1,0,0,0,1
NW,1964,0,0,0,0,1,0,0,1
SG,1964,0,0,0,0,1,0,0,1
SO,1964,0,0,3,0,0,0,0,3
VS,1964,1,0,0,2,0,0,0,3
BS,1965,0,2,0,1,0,0,0,3
GL,1965,0,1,0,0,0,0,0,1
LU,1965,0,1,0,0,0,0,0,1
NE,1965,0,1,1,0,0,0,0,2
SG,1965,2,0,0,0,0,0,0,2
SH,1965,1,0,0,0,0,0,0,1
SO,1965,0,0,1,0,0,0,0,1
VD,1965,0,0,0,0,0,0,1,1
VS,1965,1,0,0,0,0,0,0,1
FR,1966,2,0,0,1,0,0,1,4
GL,1966,0,1,0,0,1,0,0,2
NE,1966,0,0,0,3,6,0,0,9
SO,1966,0,1,0,1,0,0,0,2
TG,1966,1,0,0,0,0,0,0,1
VD,1966,0,0,0,0,1,0,0,1
VS,1966,0,1,0,0,0,0,0,1
ZH,1966,1,0,0,0,0,0,0,1
BL,1967,0,1,0,0,0,0,0,1
BS,1967,0,0,1,0,1,0,0,2
FR,1967,1,0,0,0,0,0,0,1
GR,1967,0,0,1,0,0,0,0,1
NE,1967,0,8,2,0,0,1,0,11
NW,1967,0,1,0,0,0,0,0,1
SG,1967,0,0,1,0,0,0,0,1
SO,1967,1,1,0,0,0,0,1,3
VD,1967,0,0,0,0,1,0,0,1
VS,1967,1,0,0,0,0,0,0,1
ZH,1967,2,0,0,1,0,0,0,3
BS,1968,0,0,1,0,0,0,0,1
FR,1968,0,0,0,1,0,0,1,2
NE,1968,1,0,1,1,1,0,0,4
NW,1968,0,0,0,0,0,0,1,1
SG,1968,0,0,0,0,0,2,0,2
SO,1968,2,1,1,0,1,0,0,5
TG,1968,1,0,0,0,0,0,0,1
UR,1968,0,0,0,1,0,0,0,1
VD,1968,0,0,0,0,0,1,0,1
VS,1968,0,2,0,0,0,0,0,2
ZH,1968,2,0,0,0,0,0,0,2
AR,1969,0,0,0,1,0,0,0,1
BS,1969,1,0,0,0,0,0,0,1
FR,1969,0,0,0,0,0,0,1,1
GL,1969,0,0,0,0,0,0,1,1
GR,1969,0,0,1,0,0,0,1,2
NE,1969,0,0,1,0,0,0,0,1
NW,1969,0,0,0,1,0,0,0,1
OW,1969,0,0,0,1,0,0,0,1
SO,1969,1,1,1,0,0,0,1,4
VD,1969,0,0,0,0,0,1,0,1
VS,1969,0,1,0,0,1,0,0,2
ZG,1969,0,0,0,0,0,1,0,1
BS,1970,0,0,1,2,0,1,0,4
GL,1970,0,1,0,0,0,0,0,1
GR,1970,1,0,0,0,0,0,0,1
LU,1970,1,0,0,0,0,0,0,1
NE,1970,0,1,6,0,1,0,0,8
SH,1970,1,0,0,0,0,0,0,1
SO,1970,2,0,1,0,0,0,1,4
VD,1970,1,0,1,1,0,0,0,3
VS,1970,0,0,1,1,0,0,0,2
BE,1971,0,1,0,1,0,1,1,4
BS,1971,0,1,0,0,0,0,0,1
FR,1971,0,1,1,1,0,0,0,3
GL,1971,1,0,1,1,1,2,0,6
GR,1971,0,1,0,0,0,0,1,2
LU,1971,0,0,0,0,0,0,1,1
NE,1971,1,2,0,3,1,0,0,7
OW,1971,1,0,0,0,0,0,0,1
SG,1971,0,0,1,0,0,1,0,2
SO,1971,2,0,6,0,0,0,1,9
UR,1971,0,0,0,1,0,0,0,1
VD,1971,1,0,0,1,0,0,0,2
ZG,1971,0,0,1,0,0,0,0,1
ZH,1971,1,1,0,0,0,0,0,2
AI,1972,1,0,0,0,0,0,0,1
FR,1972,0,1,1,0,0,0,2,4
GL,1972,0,0,2,0,0,0,1,3
GR,1972,1,0,1,1,0,0,0,3
NE,1972,0,5,0,0,1,1,0,7
OW,1972,1,0,0,0,0,0,0,1
SH,1972,0,1,1,0,0,0,0,2
SO,1972,0,1,2,0,0,0,3,6
SZ,1972,0,0,0,1,0,0,0,1
TI,1972,0,0,0,0,1,0,0,1
UR,1972,0,0,0,0,1,0,0,1
VD,1972,1,0,0,1,0,1,0,3
VS,1972,0,0,0,1,0,0,0,1
ZG,1972,0,0,0,0,0,0,1,1
ZH,1972,1,0,0,0,0,0,0,1
BE,1973,0,1,0,0,0,0,0,1
BS,1973,2,1,2,0,0,0,0,5
FR,1973,1,0,2,3,0,0,1,7
GL,1973,1,0,0,0,1,0,1,3
GR,1973,0,0,1,0,0,0,0,1
LU,1973,1,0,0,0,0,0,0,1
NE,1973,0,0,3,0,1,0,0,4
OW,1973,1,0,0,0,0,0,1,2
SG,1973,0,1,0,0,0,0,0,1
SO,1973,2,1,4,3,0,1,0,11
VD,1973,0,0,0,0,0,1,0,1
VS,1973,0,1,0,0,0,0,0,1
ZH,1973,0,0,1,0,0,0,0,1
AG,1974,0,0,0,1,0,0,0,1
BL,1974,0,1,0,0,0,0,0,1
BS,1974,1,1,1,0,0,0,0,3
FR,1974,2,0,1,0,0,0,1,4
