# Swiss Law Collection — cantonal acts of type 'Regulation' by canton, year and topic (full systematics depth)
# counting_unit: published_copies — one count per canton whose collection publishes the act
# year = enactment year; 'unknown' rows are undated laws
# topic = the LexFind global-systematics path at the depth the source classifies the act, French labels joined by '.' (Etat.Dispositions générales.contrôle des habitants); acts classified only at the top level appear at that depth, unclassified ones as 'Non classé'
# same counts as the canton x year x domain export next to this file, keyed on the full code instead of its first segment: for any (canton, year) the two sum to the same number
# dotted codes and labels in de/fr/it/en: api/v1/categories/global_paths.json
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,topic,number
BE,1996,"Etat.Autorités.Organisation judiciaire.Autorités judiciaires.Cours supérieures, tribunaux fédéraux",1
BE,1996,"Enseignement, sciences, documentation et culture.Degré tertiaire: universités.Faculté de sciences naturelles",1
BE,1996,Economie.Agriculture.Culture des plantes.Vignoble,1
BE,1999,"Enseignement, sciences, documentation et culture.Degré tertiaire: universités.Faculté de théologie",1
BE,1999,"Enseignement, sciences, documentation et culture.Degré tertiaire: universités.Faculté de philosophie",1
BE,2001,"Enseignement, sciences, documentation et culture.Degré tertiaire: universités.Faculté de droit",1
BE,2001,"Enseignement, sciences, documentation et culture.Degré tertiaire: universités.Faculté de théologie",2
BE,2001,"Enseignement, sciences, documentation et culture.Degré tertiaire: universités.Faculté de sciences économiques",1
BE,2001,"Enseignement, sciences, documentation et culture.Degré tertiaire: universités.Faculté de philosophie",1
BE,2003,"Etat.Autorités.Organisation judiciaire.Autorités judiciaires.Tribunaux administratifs, des assurances et des assurances sociales",1
BE,2004,"Etat.Dispositions générales.Territoire.Délimitations territoriales, districts",2
BE,2005,"Enseignement, sciences, documentation et culture",1
BE,2005,"Enseignement, sciences, documentation et culture.Degré prescolaire, école primaire, degré secondaire I.Ecole primaire, degré secondaire I",2
BE,2005,"Enseignement, sciences, documentation et culture.Degré tertiaire: Hautes écoles.Pédagogie",5
BE,2005,"Enseignement, sciences, documentation et culture.Corps enseignant.Prévoyance professionnelle, caisses de pensions",2
BE,2006,"Enseignement, sciences, documentation et culture",1
BE,2006,"Enseignement, sciences, documentation et culture.Corps enseignant.Prévoyance professionnelle, caisses de pensions",1
BE,2007,"Etat.Dispositions générales.Territoire.Délimitations territoriales, districts",1
BE,2007,"Enseignement, sciences, documentation et culture.Corps enseignant.Formation",1
BE,2007,Economie.Agriculture.Culture des plantes.Vignoble,1
BE,2008,"Enseignement, sciences, documentation et culture",1
BE,2009,"Etat.Autorités.Organisation judiciaire.Autorités judiciaires.Tribunaux administratifs, des assurances et des assurances sociales",1
BE,2010,Etat,4
BE,2010,Etat.Dispositions générales.Information du public,1
BE,2010,"Etat.Autorités.Organisation judiciaire.Autorités judiciaires.Juges d'instruction, Ministère public.Ministère public",3
BE,2010,"Etat.Autorités.Organisation judiciaire.Autorités judiciaires.Cours supérieures, tribunaux fédéraux",5
BE,2010,"Etat.Autorités.Organisation judiciaire.Autorités judiciaires.Tribunaux administratifs, des assurances et des assurances sociales",4
BE,2010,Etat.Autorités.Organisation judiciaire.Autorités judiciaires.Commissions de recours,4
BE,2010,Etat.Autorités.Organisation judiciaire.Personnel des tribunaux,2
BE,2010,"Enseignement, sciences, documentation et culture.Corps enseignant.Prévoyance professionnelle, caisses de pensions",1
BE,2010,"Enseignement, sciences, documentation et culture.Documentation.Archives",2
BE,2010,Economie.Agriculture.Culture des plantes.Vignoble,1
BE,2011,Etat.Autorités.Organisation judiciaire.Personnel des tribunaux,1
BE,2011,"Droit civil.Dispositions d'introduction du code civil.Droit des personnes, état civil.Fondations, surveillance.Fondations LPP",1
BE,2011,"Enseignement, sciences, documentation et culture.Degré prescolaire, école primaire, degré secondaire I.Ecole primaire, degré secondaire I",1
BE,2012,"Enseignement, sciences, documentation et culture.Corps enseignant.Prévoyance professionnelle, caisses de pensions",1
BE,2014,"Etat.Autorités.Gouvernement et administration.Droit du personnel.Pensions, prestations d'assurance",2
BE,2014,"Enseignement, sciences, documentation et culture.Formation continue (Degré quaternaire).Formation continue des enseignants",1
BE,2015,Etat.Autorités.Organisation judiciaire.Personnel des tribunaux,1
BE,2015,"Enseignement, sciences, documentation et culture",1
BE,2015,"Enseignement, sciences, documentation et culture.Degré tertiaire: Hautes écoles.Pédagogie",1
BE,2015,Publications sans texte,1
BE,2018,"Enseignement, sciences, documentation et culture",1
BE,2022,Etat,1
BE,2022,Etat.Autorités.Gouvernement et administration.Administration.Départements,1
BE,2024,"Etat.Autorités.Organisation judiciaire.Autorités judiciaires.Cours supérieures, tribunaux fédéraux",1
BL,1934,Droit pénal.Procédure pénale.Emoluments,1
BL,1954,"Etat.Autorités.Gouvernement et administration.Droit du personnel.Pensions, prestations d'assurance",1
BL,1976,Economie.Arts et métiers.Services.Taxis,1
BL,1978,"Enseignement, sciences, documentation et culture.Contributions à la formation.Bourses d'études",1
BL,1978,"Santé, travail, droit des assurances sociales, logement, homes.Assistance.Donations et collectes publiques",1
BL,1984,"Enseignement, sciences, documentation et culture.Reconnaissance des diplômes",1
BL,1985,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Lutte contre les maladies.Epidémies, pandémies",1
BL,1988,"Défense nationale, protection de la population, police.Protection de la population.Protection contre les incendies / éléments naturels.Assurances des bâtiments.Assurance contre les dommages causés par les éléments naturels",1
BL,1988,"Finances, Impôts, monopoles, entreprises d'état",1
BL,1990,"Finances, Impôts, monopoles, entreprises d'état",1
BL,1990,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Hygiène.Piscines",1
BL,1992,Etat,1
BL,1995,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Substances thérapeutiques, stupéfiants",1
BL,1997,"Défense nationale, protection de la population, police.Protection de la population.Protection contre les incendies / éléments naturels.Protection contre les incendies",1
BL,1998,"Enseignement, sciences, documentation et culture",1
BL,1999,"Finances, Impôts, monopoles, entreprises d'état",1
BL,2002,Etat,1
BL,2002,Etat.Professions juridiques.Avocats.Formation,1
BL,2002,"Enseignement, sciences, documentation et culture.Degré secondaire II.Ecoles moyennes supérieures, écoles des culture générale, écoles de degré diplôme",1
BL,2002,"Enseignement, sciences, documentation et culture.Degré tertiaire: Ecoles supérieures",1
BL,2003,"Enseignement, sciences, documentation et culture.Degré secondaire II.Ecoles supérieures de commerce, ecoles supérieures d'informatique",1
BL,2004,Etat,1
BL,2005,"Enseignement, sciences, documentation et culture.Degré secondaire II.Ecole moyenne",4
BL,2006,"Enseignement, sciences, documentation et culture",1
BL,2007,Etat,1
BL,2007,"Enseignement, sciences, documentation et culture",2
BL,2007,"Enseignement, sciences, documentation et culture.Degré secondaire II.Ecoles moyennes supérieures, écoles des culture générale, écoles de degré diplôme",1
BL,2010,"Enseignement, sciences, documentation et culture",1
BL,2013,"Enseignement, sciences, documentation et culture.Degré secondaire II.Ecole moyenne",1
BL,2014,Etat,1
BL,2018,Etat,1
BL,2018,Etat.Autorités.Gouvernement et administration.Gouvernement.Chancellerie de l'Etat,1
BL,2018,Etat.Autorités.Gouvernement et administration.Administration.Directions et offices,5
BL,2019,Etat,1
BL,2019,Etat.Autorités.Gouvernement et administration.Administration.Directions et offices,1
BL,2019,Etat.Eglise et Etat.Eglise évangélique réformée,1
BL,2020,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
BL,2021,Etat.Autorités.Gouvernement et administration.Administration.Départements,1
BL,2021,"Enseignement, sciences, documentation et culture.Degré secondaire II.Ecole moyenne",1
BL,2022,Etat.Autorités.Gouvernement et administration.Administration.Départements,1
BL,2022,"Enseignement, sciences, documentation et culture.Degré prescolaire, école primaire, degré secondaire I.Ecole primaire, degré secondaire I",1
BL,2022,"Finances, Impôts, monopoles, entreprises d'état",1
BS,1913,Etat.Professions juridiques.Notaires.Formation,1
BS,1946,"Enseignement, sciences, documentation et culture.Corps enseignant.Formation",1
BS,1955,Etat,1
BS,1956,Etat,1
BS,1956,"Santé, travail, droit des assurances sociales, logement, homes",1
BS,1961,"Enseignement, sciences, documentation et culture.Contributions à la formation.Bourses d'études",1
BS,1967,"Enseignement, sciences, documentation et culture.Corps enseignant.Formation",1
BS,1968,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Professions médicales.Médecins",1
BS,1969,"Etat.Autorités.Organisation judiciaire.Autorités judiciaires.Juges d'instruction, Ministère public.Ministère public",1
BS,1970,"Enseignement, sciences, documentation et culture.Corps enseignant.Formation",1
BS,1971,"Enseignement, sciences, documentation et culture.Art, culture, sport.Art.Cinéma, théâtre, divertissement",1
BS,1972,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Substances thérapeutiques, stupéfiants",1
BS,1973,Etat.Autorités.Organisation judiciaire.Rémunération et indemnités des juges,1
BS,1975,"Etat.Autorités.Organisation judiciaire.Emoluments judiciaires, frais de justice",1
BS,1976,"Finances, Impôts, monopoles, entreprises d'état.Finances.Contributions étatiques, subventions",1
BS,1978,"Défense nationale, protection de la population, police.Sécurité intérieure.Maintien de la tranquillité et de l'ordre public.Chiens, animaux dangereux",1
BS,1980,Etat,2
BS,1983,Etat,1
BS,1984,"Santé, travail, droit des assurances sociales, logement, homes",1
BS,1984,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.Assurance-chômage",1
BS,1985,"Enseignement, sciences, documentation et culture.Assurance de la qualité, surveillance, direction.Surveillance scolaire",1
BS,1988,"Enseignement, sciences, documentation et culture.Degré tertiaire: Ecoles supérieures",1
BS,1989,Etat.Autorités.Protection des données,1
BS,1989,"Enseignement, sciences, documentation et culture.Corps enseignant.Formation",1
BS,1990,"Enseignement, sciences, documentation et culture.Corps enseignant.Formation",1
BS,1991,"Enseignement, sciences, documentation et culture.Degré tertiaire: universités.Faculté de sciences naturelles",1
BS,1991,"Enseignement, sciences, documentation et culture.Corps enseignant.Formation",1
BS,1992,"Enseignement, sciences, documentation et culture.Corps enseignant.Formation",1
BS,1993,Etat.Dispositions générales.Information du public,1
BS,1993,"Enseignement, sciences, documentation et culture.Corps enseignant.Formation",1
BS,1993,"Défense nationale, protection de la population, police.Sécurité intérieure.Maintien de la tranquillité et de l'ordre public.Chiens, animaux dangereux",1
BS,1993,"Santé, travail, droit des assurances sociales, logement, homes",1
BS,1994,"Santé, travail, droit des assurances sociales, logement, homes",1
BS,1995,Etat.Autorités.Gouvernement et administration.Droit du personnel.Places de stationnement,1
BS,1995,"Santé, travail, droit des assurances sociales, logement, homes",1
BS,1996,"Enseignement, sciences, documentation et culture.Corps enseignant.Formation",2
BS,1996,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Transports publics.Transports régionaux",1
BS,1997,Economie.Arts et métiers.Services.Taxis,1
BS,1999,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Hygiène.Enfouissement des déchets carnés",1
BS,2000,"Santé, travail, droit des assurances sociales, logement, homes",2
BS,2001,"Enseignement, sciences, documentation et culture.Degré secondaire II.Ecole moyenne",1
BS,2002,"Enseignement, sciences, documentation et culture.Degré tertiaire: Hautes écoles.Pédagogie",1
BS,2002,"Enseignement, sciences, documentation et culture.Corps enseignant.Formation",1
BS,2002,"Défense nationale, protection de la population, police.Protection de la population.Protection contre les incendies / éléments naturels.Protection contre les incendies",1
BS,2003,Etat,1
BS,2003,"Etat.Autorités.Gouvernement et administration.Droit du personnel.Pensions, prestations d'assurance",1
BS,2003,Etat.Professions juridiques.Avocats.Formation,1
BS,2004,Etat.Professions juridiques.Avocats.Honoraires,1
BS,2004,"Enseignement, sciences, documentation et culture.Corps enseignant.Formation",1
BS,2005,"Défense nationale, protection de la population, police",1
BS,2007,Etat.Autorités.Protection des données,1
BS,2007,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Circulation routière.Contrôle technique des véhicules",1
BS,2007,"Economie.Commerce.Foires, marchés",1
BS,2010,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
BS,2011,Etat.Dispositions générales.Information du public,1
BS,2016,Etat,3
BS,2016,"Etat.Autorités.Organisation judiciaire.Autorités judiciaires.Cours supérieures, tribunaux fédéraux",1
BS,2016,"Etat.Autorités.Organisation judiciaire.Autorités judiciaires.Tribunaux administratifs, des assurances et des assurances sociales",1
BS,2016,Etat.Autorités.Organisation judiciaire.Personnel des tribunaux,1
BS,2017,Etat,2
BS,2017,Etat.Autorités.Organisation judiciaire.Personnel des tribunaux,1
BS,2017,Etat.Professions juridiques.Avocats.Honoraires,1
BS,2018,Etat,2
BS,2019,"Etat.Autorités.Organisation judiciaire.Emoluments judiciaires, frais de justice",1
BS,2020,Etat,1
BS,2021,Etat.Autorités.Protection des données,1
BS,2021,"Enseignement, sciences, documentation et culture.Documentation.Archives",1
BS,2021,Economie.Promotion de l'économie,1
BS,2022,Economie.Commerce.Développement et coopération,1
BS,2023,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de la nature et du paysage.Protection des monuments et des biens culturels",1
BS,2023,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Hygiène.Inhumations, cimetières",1
BS,2024,Etat,1
BS,2025,Etat,1
BS,2025,"Santé, travail, droit des assurances sociales, logement, homes",1
FR,1959,"Santé, travail, droit des assurances sociales, logement, homes.Droit du travail.Employés.Sécurité",1
FR,1964,"Santé, travail, droit des assurances sociales, logement, homes.Logement.Mesures d'encouragement à la construction de logements",1
FR,1965,"Défense nationale, protection de la population, police.Protection de la population.Protection contre les incendies / éléments naturels.Protection contre le feu, pompiers",1
FR,1965,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Etablissements hospitaliers, cliniques.Cliniques psychiatriques",1
FR,1966,"Défense nationale, protection de la population, police.Protection de la population.Protection contre les incendies / éléments naturels.Protection contre les incendies",1
FR,1967,Etat,1
FR,1967,"Défense nationale, protection de la population, police.Protection de la population.Protection contre les incendies / éléments naturels.Protection contre le feu, pompiers",1
FR,1967,"Défense nationale, protection de la population, police.Protection de la population.Protection contre les incendies / éléments naturels.Protection contre les incendies",1
FR,1973,"Enseignement, sciences, documentation et culture.Assurance de la qualité, surveillance, direction.Assurance scolaire",1
FR,1974,"Enseignement, sciences, documentation et culture.Sport scolaire",1
FR,1976,Economie.Agriculture.Formation agricole.Ecole agricole,1
FR,1977,Etat.Professions juridiques.Avocats.Formation,1
FR,1978,Etat,1
FR,1978,"Enseignement, sciences, documentation et culture.Art, culture, sport.Art.Cinéma, théâtre, divertissement",1
FR,1979,"Enseignement, sciences, documentation et culture.Degré secondaire II: Formation professionnelle initiale.Ecoles professionnelles.Enseignement ménager",1
FR,1981,Etat,1
FR,1981,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Hygiène.Alimentation en eau",1
FR,1982,"Etat.Autorités.Organisation judiciaire.Autorités judiciaires.Cours supérieures, tribunaux fédéraux",1
FR,1982,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
FR,1983,"Défense nationale, protection de la population, police.Sécurité intérieure.Police.Personnel",1
FR,1983,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de la nature et du paysage.Protection de la nature",2
FR,1984,Droit civil.Dispositions d'introduction du code civil.Droits réels.Estimation officielle des immeubles,1
FR,1984,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
FR,1985,"Santé, travail, droit des assurances sociales, logement, homes",1
FR,1985,Economie.Agriculture.Production animale.Bovins et petit bétail,1
FR,1986,"Etat.Autorités.Gouvernement et administration.Droit du personnel.Durée du travail, vacances, congés",1
FR,1986,Droit civil,2
FR,1986,"Droit civil.Dispositions d'introduction du code civil.Droits réels.Registre foncier, mensurations cadastrales",1
FR,1986,"Enseignement, sciences, documentation et culture",1
FR,1986,"Enseignement, sciences, documentation et culture.Degré prescolaire, école primaire, degré secondaire I.Ecole enfantine",1
FR,1986,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Aménagement du territoire et constructions.Affichage et publicité",1
FR,1986,Economie,1
FR,1987,"Droit civil.Dispositions d'introduction du code civil.Droit de la famille.Accueil familial, adoption",1
FR,1987,"Enseignement, sciences, documentation et culture.Degré secondaire II.Ecole moyenne",1
