# Swiss Law Collection — cantonal acts of type 'Intercantonal agreement' by canton, year and topic (full systematics depth)
# counting_unit: published_copies — one count per canton whose collection publishes the act
# year = enactment year; 'unknown' rows are undated laws
# topic = the LexFind global-systematics path at the depth the source classifies the act, French labels joined by '.' (Etat.Dispositions générales.contrôle des habitants); acts classified only at the top level appear at that depth, unclassified ones as 'Non classé'
# same counts as the canton x year x domain export next to this file, keyed on the full code instead of its first segment: for any (canton, year) the two sum to the same number
# dotted codes and labels in de/fr/it/en: api/v1/categories/global_paths.json
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,topic,number
AG,2009,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
AG,2011,"Enseignement, sciences, documentation et culture.Contributions à la formation.Bourses d'études",1
AG,2012,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Professions médicales.Chiropraticiens, physiothérapeutes",1
AG,2013,"Enseignement, sciences, documentation et culture",1
AG,2013,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Déchets",1
AG,2013,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Etique",1
AG,2013,Economie.Arts et métiers.Services.Professions soumises à autorisation,1
AG,2014,"Enseignement, sciences, documentation et culture.Degré tertiaire: Ecoles supérieures",1
AG,2014,"Défense nationale, protection de la population, police.Sécurité intérieure.Police.Personnel",1
AG,2014,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Professions médicales.Médecins",1
AG,2014,"Economie.Commerce.Marché intérieur, entraves techniques au commerce",1
AG,2015,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Circulation routière.Contrôle technique des véhicules",1
AG,2017,"Droit civil.Dispositions d'introduction du code civil.Droit des personnes, état civil.Fondations, surveillance.Fondations LPP",1
AG,2018,"Enseignement, sciences, documentation et culture.Reconnaissance des diplômes",1
AG,2018,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
AG,2019,Etat.Autorités.Protection des données,1
AG,2019,"Enseignement, sciences, documentation et culture",1
AG,2019,"Enseignement, sciences, documentation et culture.Documentation.Archives",1
AG,2019,"Défense nationale, protection de la population, police.Sécurité intérieure.Police.Coopération en matière de police",1
AG,2019,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",2
AG,2019,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Travaux publics.Marchés publics",1
AG,2020,Etat,1
AG,2021,Etat,1
AG,2021,"Défense nationale, protection de la population, police.Sécurité intérieure.Police.Coopération en matière de police",1
AG,2021,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
AG,2021,"Santé, travail, droit des assurances sociales, logement, homes",1
AG,2022,Etat,1
AG,2022,"Défense nationale, protection de la population, police.Sécurité intérieure.Police.Coopération en matière de police",1
AG,2023,"Enseignement, sciences, documentation et culture.Degré secondaire II.Ecole moyenne",2
AG,2025,"Enseignement, sciences, documentation et culture",1
AG,2025,"Défense nationale, protection de la population, police",1
AG,2025,"Défense nationale, protection de la population, police.Sécurité intérieure.Police.Coopération en matière de police",1
AI,1848,Etat.Dispositions générales.Territoire.Frontières,1
AI,1889,"Enseignement, sciences, documentation et culture",1
AI,1937,Non classé,1
AI,1940,"Droit civil.Dispositions d'introduction du code civil.Droits réels.Registre foncier, mensurations cadastrales",2
AI,1943,Economie.Agriculture.Production animale.Commerce du bétail,1
AI,1944,Droit pénal,1
AI,1948,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Interdiction des arrangements fiscaux",1
AI,1951,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Energie.Forces hydrauliques",1
AI,1951,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Funiculaires, téléphériques, téléskis",1
AI,1954,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur le revenu et la fortune / impôts sur les bénéfices et les capitaux.Impôt cantonal",1
AI,1955,"Finances, Impôts, monopoles, entreprises d'état.Monopoles, régales, entreprises d'état.Pétrole",1
AI,1955,Economie,1
AI,1967,Etat.Eglise et Etat.Eglise catholique romaine,1
AI,1969,Etat.Eglise et Etat.Eglise évangélique réformée,1
AI,1969,Droit civil.Arbitrage,1
AI,1969,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",1
AI,1970,"Enseignement, sciences, documentation et culture.Assurance de la qualité, surveillance, direction.Coordination",1
AI,1972,Economie.Forêt.Formation professionnelle,1
AI,1973,"Finances, Impôts, monopoles, entreprises d'état.Monopoles, régales, entreprises d'état.Régale des sels",1
AI,1974,Droit civil.Procédure civile.Entraide judiciaire,1
AI,1976,Droit pénal,1
AI,1976,"Défense nationale, protection de la population, police.Sécurité intérieure.Police.Coopération en matière de police",1
AI,1980,"Finances, Impôts, monopoles, entreprises d'état.Monopoles, régales, entreprises d'état.Pêche.Zones de pêche",1
AI,1981,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",1
AI,1982,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",1
AI,1983,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",1
AI,1983,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Déchets",1
AI,1990,Economie.Forêt.Formation professionnelle,1
AI,1992,Droit pénal.Procédure pénale.Entraide judiciaire,1
AI,1994,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",1
AI,1997,"Enseignement, sciences, documentation et culture",1
AI,1998,"Enseignement, sciences, documentation et culture.Degré tertiaire: Ecoles supérieures",1
AI,1998,"Economie.Commerce.Marché intérieur, entraves techniques au commerce",1
AI,1999,"Enseignement, sciences, documentation et culture",1
AI,2001,"Enseignement, sciences, documentation et culture",1
AI,2001,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Travaux publics.Marchés publics",1
AI,2003,"Enseignement, sciences, documentation et culture",1
AI,2003,"Enseignement, sciences, documentation et culture.Pédagogie spécialisée.Enfants surdoués",1
AI,2005,Etat.Dispositions générales.Collaboration intercantonale,1
AI,2005,"Droit civil.Dispositions d'introduction du code civil.Droit des personnes, état civil.Fondations, surveillance.Fondations LPP",2
