sr_number,title,abbreviation,language,version_date,category,fedlex_uri,source,file_path
0.353.938.9,Note der Kooperativen Republik Guyana vom 2. März 1993 über die Anwendbarkeit,,de,1993-03-02,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.938.9,https://fedlex.data.admin.ch,ch/0/de/0.353.938.9.md
0.353.942.3,Notenaustausch vom 20. Dezember 1967/28. Februar 1968 zwischen der Schweiz,,de,1968-02-28,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.942.3,https://fedlex.data.admin.ch,ch/0/de/0.353.942.3.md
0.353.947.2,Notenwechsel vom 19. Mai/21. September 1965 über die Weitergeltung des schweizerisch-britischen,,de,1965-09-21,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.947.2,https://fedlex.data.admin.ch,ch/0/de/0.353.947.2.md
0.353.951.8,Auslieferungsvertrag zwischen der Schweiz und dem Grossherzogtum Luxemburg ,,de,1967-03-20,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.951.8,https://fedlex.data.admin.ch,ch/0/de/0.353.951.8.md
0.353.953.2,Notenwechsel vom 6. Januar/19. Dezember 1967 über die Weitergeltung des schweizerisch-britischen,,de,1967-01-06,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.953.2,https://fedlex.data.admin.ch,ch/0/de/0.353.953.2.md
0.353.954.5,Notenaustausch vom 3. April 1990/28. Januar 1992 zwischen der Schweiz und Malta,,de,1992-01-28,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.954.5,https://fedlex.data.admin.ch,ch/0/de/0.353.954.5.md
0.353.955.4,Notenaustausch vom 28. Januar 1993/9. Mai 1994 zwischen der Schweiz und Mauritius,,de,1994-05-09,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.955.4,https://fedlex.data.admin.ch,ch/0/de/0.353.955.4.md
0.353.956.7,Übereinkunft vom 10. Dezember 1885 zwischen der Schweiz und dem Fürstentum,,de,1886-02-01,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.956.7,https://fedlex.data.admin.ch,ch/0/de/0.353.956.7.md
0.353.957.7,Notenaustausch vom 26. Juli 1993/19. Juni 1995 zur Bestätigung der Weitergeltung,,de,1995-06-19,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.957.7,https://fedlex.data.admin.ch,ch/0/de/0.353.957.7.md
0.353.961.4,Notenaustausch vom 9. März 1992/11. März 1992 zwischen der Schweiz und Neuseeland,,de,2003-05-13,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.961.4,https://fedlex.data.admin.ch,ch/0/de/0.353.961.4.md
0.353.961.8,Notenwechsel vom 14. Januar/21. September 1965 über die Weitergeltung des schweizerisch-britischen,,de,1965-01-01,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.961.8,https://fedlex.data.admin.ch,ch/0/de/0.353.961.8.md
0.353.962.3,Notenaustausch vom 11. Dezember 1954/28. November 1955 über die Weitergeltung,,de,1955-11-28,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.962.3,https://fedlex.data.admin.ch,ch/0/de/0.353.962.3.md
0.353.963.0,Briefwechsel vom 22. September 1976/25. Februar 1977 betreffend die Anwendung,,de,1975-09-16,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.963.0,https://fedlex.data.admin.ch,ch/0/de/0.353.963.0.md
0.353.963.2,Auslieferungsvertrag vom 30. Juni 1906 zwischen der Schweiz und der Republik,,de,1907-10-26,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.963.2,https://fedlex.data.admin.ch,ch/0/de/0.353.963.2.md
0.353.964.5,Auslieferungsvertrag vom 19. Oktober 1989 zwischen der Schweizerischen Eidgenossenschaft,,de,1997-02-23,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.964.5,https://fedlex.data.admin.ch,ch/0/de/0.353.964.5.md
0.353.964.9,Vertrag vom 19. November 1937 zwischen der Schweiz und Polen über die Auslieferung,,de,1939-01-22,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.964.9,https://fedlex.data.admin.ch,ch/0/de/0.353.964.9.md
0.353.965.4,Vertrag vom 30. Oktober 1873 zwischen der Schweiz und Portugal über gegenseitige,,de,1874-09-23,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.965.4,https://fedlex.data.admin.ch,ch/0/de/0.353.965.4.md
0.353.966.7,Notenaustausch vom 22. und 30. Juni 1971 betreffend die Anwendung zwischen,,de,1971-06-30,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.966.7,https://fedlex.data.admin.ch,ch/0/de/0.353.966.7.md
0.353.967.4,Note der Salomon-Inseln vom 6. Dezember 1993 über die Anwendbarkeit des schweizerisch-britischen,,de,1993-12-06,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.967.4,https://fedlex.data.admin.ch,ch/0/de/0.353.967.4.md
0.353.968.3,Note der Seychellen vom 20. April 1993 über die Anwendbarkeit des schweizerisch-britischen  Auslieferungsvertrages,,de,1993-04-20,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.968.3,https://fedlex.data.admin.ch,ch/0/de/0.353.968.3.md
0.353.973.2,Notenwechsel vom 25. August/28. September 1967 über die Weitergeltung des schweizerisch-britischen,,de,1963-12-09,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.973.2,https://fedlex.data.admin.ch,ch/0/de/0.353.973.2.md
0.353.977.2,Auslieferungsvertrag vom 17. November 1873 zwischen der Schweiz und Russland,,de,1874-02-27,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.977.2,https://fedlex.data.admin.ch,ch/0/de/0.353.977.2.md
0.353.977.21,Erklärung vom 22. Februar 1908 zwischen der Schweiz und Russland betreffend,,de,1908-02-22,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.977.21,https://fedlex.data.admin.ch,ch/0/de/0.353.977.21.md
0.353.977.6,Auslieferungsvertrag vom 27. Februar 1923 zwischen der Schweiz und der Republik,,de,1927-07-15,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.977.6,https://fedlex.data.admin.ch,ch/0/de/0.353.977.6.md
0.353.981.8,Auslieferungsvertrag vom 28. November 1887 zwischen der Schweiz und Serbien,,de,1888-07-05,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.981.8,https://fedlex.data.admin.ch,ch/0/de/0.353.981.8.md
0.353.982.3,Note Sambias vom 31. Januar 1994 über die Anwendbarkeit des schweizerisch-britischen,,de,1994-01-31,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.353.982.3,https://fedlex.data.admin.ch,ch/0/de/0.353.982.3.md
0.360.123.1,Abkommen vom 21. September 2005 zwischen dem Schweizerischen Bundesrat und,,de,2007-07-18,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.360.123.1,https://fedlex.data.admin.ch,ch/0/de/0.360.123.1.md
