DATAFLOW,CANTON,DOMAIN,TIME_PERIOD,OBS_VALUE
SLC:DF_CONCORDATS(1.0),OW,fin,1922,1
SLC:DF_CONCORDATS(1.0),SG,fin,1922,1
SLC:DF_CONCORDATS(1.0),ZH,etat,1922,2
SLC:DF_CONCORDATS(1.0),ZH,fin,1922,1
SLC:DF_CONCORDATS(1.0),GR,eco,1923,1
SLC:DF_CONCORDATS(1.0),AR,sante,1924,1
SLC:DF_CONCORDATS(1.0),AG,fin,1926,1
SLC:DF_CONCORDATS(1.0),TG,autres,1926,1
SLC:DF_CONCORDATS(1.0),TG,etat,1926,2
SLC:DF_CONCORDATS(1.0),TG,fin,1926,1
SLC:DF_CONCORDATS(1.0),ZH,autres,1926,1
SLC:DF_CONCORDATS(1.0),ZH,etat,1926,2
SLC:DF_CONCORDATS(1.0),ZH,fin,1926,2
SLC:DF_CONCORDATS(1.0),SZ,infra,1927,1
SLC:DF_CONCORDATS(1.0),ZH,infra,1927,1
SLC:DF_CONCORDATS(1.0),SH,fin,1928,1
SLC:DF_CONCORDATS(1.0),SZ,infra,1929,2
SLC:DF_CONCORDATS(1.0),ZH,infra,1929,1
SLC:DF_CONCORDATS(1.0),SZ,infra,1930,1
SLC:DF_CONCORDATS(1.0),ZG,infra,1930,1
SLC:DF_CONCORDATS(1.0),ZH,infra,1930,1
SLC:DF_CONCORDATS(1.0),GL,fin,1931,1
SLC:DF_CONCORDATS(1.0),SH,fin,1931,1
SLC:DF_CONCORDATS(1.0),SO,etat,1931,1
SLC:DF_CONCORDATS(1.0),TG,fin,1931,1
SLC:DF_CONCORDATS(1.0),ZH,infra,1931,1
SLC:DF_CONCORDATS(1.0),SZ,infra,1933,1
SLC:DF_CONCORDATS(1.0),TG,fin,1933,1
SLC:DF_CONCORDATS(1.0),ZG,fin,1933,1
SLC:DF_CONCORDATS(1.0),LU,fin,1934,1
SLC:DF_CONCORDATS(1.0),TG,fin,1934,1
SLC:DF_CONCORDATS(1.0),BL,fin,1936,1
SLC:DF_CONCORDATS(1.0),FR,fin,1936,1
SLC:DF_CONCORDATS(1.0),GR,fin,1936,1
SLC:DF_CONCORDATS(1.0),NW,fin,1936,1
SLC:DF_CONCORDATS(1.0),ZH,fin,1936,1
SLC:DF_CONCORDATS(1.0),ZH,infra,1936,1
SLC:DF_CONCORDATS(1.0),AG,infra,1937,2
SLC:DF_CONCORDATS(1.0),AI,infra,1937,1
SLC:DF_CONCORDATS(1.0),AR,infra,1937,2
SLC:DF_CONCORDATS(1.0),BE,infra,1937,1
SLC:DF_CONCORDATS(1.0),BL,infra,1937,1
SLC:DF_CONCORDATS(1.0),BS,infra,1937,1
SLC:DF_CONCORDATS(1.0),FR,infra,1937,1
SLC:DF_CONCORDATS(1.0),GL,infra,1937,1
SLC:DF_CONCORDATS(1.0),GR,eco,1937,1
SLC:DF_CONCORDATS(1.0),GR,fin,1937,1
SLC:DF_CONCORDATS(1.0),GR,infra,1937,1
SLC:DF_CONCORDATS(1.0),LU,autres,1937,1
SLC:DF_CONCORDATS(1.0),LU,infra,1937,1
SLC:DF_CONCORDATS(1.0),NW,infra,1937,1
SLC:DF_CONCORDATS(1.0),OW,infra,1937,1
SLC:DF_CONCORDATS(1.0),SG,autres,1937,1
SLC:DF_CONCORDATS(1.0),SG,fin,1937,1
SLC:DF_CONCORDATS(1.0),SG,infra,1937,1
SLC:DF_CONCORDATS(1.0),SH,infra,1937,1
SLC:DF_CONCORDATS(1.0),SO,infra,1937,2
SLC:DF_CONCORDATS(1.0),TG,autres,1937,1
SLC:DF_CONCORDATS(1.0),TG,infra,1937,1
SLC:DF_CONCORDATS(1.0),TI,autres,1937,1
SLC:DF_CONCORDATS(1.0),UR,infra,1937,1
SLC:DF_CONCORDATS(1.0),ZG,autres,1937,1
SLC:DF_CONCORDATS(1.0),ZG,infra,1937,1
SLC:DF_CONCORDATS(1.0),ZH,etat,1937,1
SLC:DF_CONCORDATS(1.0),BL,etat,1938,1
SLC:DF_CONCORDATS(1.0),BS,etat,1938,1
SLC:DF_CONCORDATS(1.0),FR,infra,1938,1
SLC:DF_CONCORDATS(1.0),SG,etat,1938,1
SLC:DF_CONCORDATS(1.0),SZ,infra,1938,4
SLC:DF_CONCORDATS(1.0),TG,etat,1938,1
SLC:DF_CONCORDATS(1.0),VD,infra,1938,1
SLC:DF_CONCORDATS(1.0),SH,educ,1939,1
SLC:DF_CONCORDATS(1.0),SO,educ,1939,1
SLC:DF_CONCORDATS(1.0),SZ,fin,1939,1
SLC:DF_CONCORDATS(1.0),SZ,infra,1939,1
SLC:DF_CONCORDATS(1.0),AI,autres,1940,2
SLC:DF_CONCORDATS(1.0),AR,autres,1940,2
SLC:DF_CONCORDATS(1.0),AR,etat,1940,1
SLC:DF_CONCORDATS(1.0),BL,etat,1940,1
SLC:DF_CONCORDATS(1.0),BS,etat,1940,1
SLC:DF_CONCORDATS(1.0),SG,etat,1940,1
SLC:DF_CONCORDATS(1.0),SO,autres,1941,1
SLC:DF_CONCORDATS(1.0),AG,eco,1943,1
SLC:DF_CONCORDATS(1.0),AI,eco,1943,1
SLC:DF_CONCORDATS(1.0),AR,eco,1943,1
SLC:DF_CONCORDATS(1.0),BE,eco,1943,1
SLC:DF_CONCORDATS(1.0),BL,eco,1943,2
SLC:DF_CONCORDATS(1.0),FR,autres,1943,1
SLC:DF_CONCORDATS(1.0),FR,eco,1943,1
SLC:DF_CONCORDATS(1.0),GE,eco,1943,1
SLC:DF_CONCORDATS(1.0),GL,eco,1943,2
SLC:DF_CONCORDATS(1.0),GR,eco,1943,1
SLC:DF_CONCORDATS(1.0),GR,fin,1943,1
SLC:DF_CONCORDATS(1.0),LU,eco,1943,1
SLC:DF_CONCORDATS(1.0),NE,eco,1943,2
SLC:DF_CONCORDATS(1.0),NE,educ,1943,1
SLC:DF_CONCORDATS(1.0),NW,eco,1943,1
SLC:DF_CONCORDATS(1.0),OW,etat,1943,1
SLC:DF_CONCORDATS(1.0),SG,eco,1943,1
SLC:DF_CONCORDATS(1.0),SH,autres,1943,1
SLC:DF_CONCORDATS(1.0),SO,eco,1943,1
SLC:DF_CONCORDATS(1.0),SZ,eco,1943,1
